



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 9.750000 2.000000 16.002000 15.725000 13.930000 12.159000 11.855000 10.256000 17.703000 15.563000 15.926000 13.561000 15.607000 14.183000 14.808000 13.413000 11.332000 11.655000 11.929000 11.779000 26.840000 19.328000 16.695000 16.236000 14.417000 14.938000 12.871000 11.547000 13.562000
1.000000 0.001000 2.000000 0.001909 9.750000 2.000000 14.720000 13.736000 12.600000 11.295000 11.207000 9.765000 15.401000 13.684000 13.880000 12.386000 13.479000 12.649000 12.704000 11.907000 10.682000 10.871000 11.269000 11.145000 24.720000 17.446000 15.361000 14.319000 13.036000 13.181000 11.814000 10.882000 12.363000
1.000000 0.001000 3.000000 0.002864 9.750000 2.000000 14.106000 12.994000 12.036000 10.917000 10.904000 9.560000 14.484000 12.967000 13.118000 11.937000 12.687000 12.061000 11.913000 11.313000 10.436000 10.551000 10.964000 10.847000 23.847000 16.648000 14.705000 13.591000 12.484000 12.490000 11.327000 10.609000 11.819000
1.000000 0.001000 4.000000 0.003818 9.750000 2.000000 13.711000 12.576000 11.698000 10.680000 10.710000 9.436000 13.953000 12.557000 12.688000 11.672000 12.242000 11.718000 11.471000 10.975000 10.284000 10.359000 10.769000 10.656000 23.318000 16.156000 14.284000 13.169000 12.157000 12.089000 11.025000 10.438000 11.486000
1.000000 0.001000 5.000000 0.004773 9.750000 2.000000 13.416000 12.288000 11.455000 10.508000 10.568000 9.349000 13.580000 12.272000 12.391000 11.482000 11.937000 11.477000 11.169000 10.742000 10.174000 10.225000 10.627000 10.518000 22.934000 15.796000 13.971000 12.871000 11.922000 11.809000 10.807000 10.315000 11.247000
1.000000 0.001000 6.000000 0.005727 9.750000 2.000000 13.181000 12.070000 11.266000 10.373000 10.459000 9.285000 13.292000 12.056000 12.165000 11.333000 11.705000 11.292000 10.942000 10.566000 10.087000 10.124000 10.518000 10.410000 22.630000 15.511000 13.721000 12.641000 11.739000 11.593000 10.637000 10.219000 11.060000
1.000000 0.001000 7.000000 0.006682 9.750000 2.000000 12.991000 11.902000 11.117000 10.267000 10.374000 9.237000 13.067000 11.888000 11.990000 11.216000 11.527000 11.147000 10.768000 10.431000 10.020000 10.047000 10.433000 10.326000 22.385000 15.282000 13.520000 12.461000 11.595000 11.425000 10.504000 10.145000 10.914000
1.000000 0.001000 8.000000 0.007637 9.750000 2.000000 12.824000 11.759000 10.990000 10.176000 10.302000 9.198000 12.873000 11.745000 11.841000 11.116000 11.376000 11.023000 10.621000 10.318000 9.962000 9.983000 10.362000 10.256000 22.171000 15.083000 13.344000 12.305000 11.471000 11.282000 10.390000 10.082000 10.789000
1.000000 0.001000 9.000000 0.008591 9.750000 2.000000 12.664000 11.626000 10.869000 10.089000 10.235000 9.163000 12.690000 11.611000 11.701000 11.019000 11.234000 10.905000 10.483000 10.212000 9.906000 9.925000 10.295000 10.190000 21.966000 14.892000 13.175000 12.158000 11.353000 11.146000 10.281000 10.023000 10.669000
1.000000 0.001000 10.000000 0.009546 9.750000 2.000000 12.502000 11.495000 10.749000 10.003000 10.169000 9.129000 12.510000 11.480000 11.564000 10.924000 11.095000 10.789000 10.348000 10.108000 9.851000 9.868000 10.229000 10.125000 21.762000 14.702000 13.005000 12.013000 11.236000 11.012000 10.174000 9.964000 10.550000
