



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 8.000000 3.000000 19.576000 22.135000 22.567000 17.877000 14.180000 14.056000 24.236000 21.650000 24.466000 22.160000 23.611000 21.637000 22.843000 19.737000 15.898000 14.865000 14.230000 14.303000 30.792000 23.248000 20.016000 22.583000 23.041000 22.507000 19.246000 14.852000 19.918000
1.000000 0.001000 2.000000 0.001909 8.000000 3.000000 19.318000 20.762000 21.611000 16.899000 13.868000 13.458000 23.123000 20.295000 23.037000 21.206000 22.328000 20.392000 21.398000 18.558000 15.165000 14.350000 13.917000 13.981000 31.101000 22.896000 19.869000 21.243000 22.006000 21.205000 18.179000 14.415000 18.864000
1.000000 0.001000 3.000000 0.002864 8.000000 3.000000 19.038000 20.015000 21.026000 16.398000 13.667000 13.149000 22.471000 19.562000 22.234000 20.626000 21.619000 19.731000 20.640000 17.949000 14.775000 14.064000 13.713000 13.779000 31.152000 22.562000 19.651000 20.510000 21.383000 20.515000 17.627000 14.152000 18.317000
1.000000 0.001000 4.000000 0.003818 8.000000 3.000000 18.770000 19.477000 20.566000 16.051000 13.516000 12.942000 21.976000 19.038000 21.645000 20.172000 21.099000 19.263000 20.108000 17.526000 14.502000 13.863000 13.560000 13.631000 31.126000 22.265000 19.425000 19.983000 20.903000 20.026000 17.244000 13.959000 17.935000
1.000000 0.001000 5.000000 0.004773 8.000000 3.000000 18.511000 19.045000 20.169000 15.781000 13.392000 12.786000 21.560000 18.618000 21.163000 19.780000 20.674000 18.888000 19.690000 17.195000 14.290000 13.705000 13.435000 13.511000 31.064000 21.993000 19.196000 19.558000 20.493000 19.637000 16.943000 13.804000 17.635000
1.000000 0.001000 6.000000 0.005727 8.000000 3.000000 18.211000 18.629000 19.746000 15.527000 13.270000 12.642000 21.142000 18.215000 20.689000 19.362000 20.252000 18.526000 19.296000 16.883000 14.089000 13.554000 13.311000 13.393000 30.933000 21.689000 18.918000 19.149000 20.066000 19.263000 16.659000 13.653000 17.350000
1.000000 0.001000 7.000000 0.006682 8.000000 3.000000 17.881000 18.223000 19.304000 15.282000 13.148000 12.503000 20.719000 17.822000 20.218000 18.926000 19.831000 18.169000 18.918000 16.583000 13.894000 13.405000 13.186000 13.274000 30.749000 21.360000 18.602000 18.749000 19.625000 18.895000 16.384000 13.503000 17.072000
1.000000 0.001000 8.000000 0.007637 8.000000 3.000000 17.560000 17.852000 18.890000 15.060000 13.035000 12.381000 20.326000 17.465000 19.786000 18.516000 19.443000 17.844000 18.577000 16.313000 13.718000 13.270000 13.070000 13.165000 30.557000 21.042000 18.291000 18.385000 19.213000 18.560000 16.136000 13.366000 16.819000
1.000000 0.001000 9.000000 0.008591 8.000000 3.000000 17.260000 17.519000 18.513000 14.863000 12.932000 12.274000 19.969000 17.145000 19.397000 18.143000 19.094000 17.553000 18.277000 16.074000 13.561000 13.150000 12.965000 13.066000 30.373000 20.746000 17.997000 18.057000 18.839000 18.259000 15.915000 13.242000 16.593000
1.000000 0.001000 10.000000 0.009546 8.000000 3.000000 16.981000 17.219000 18.171000 14.689000 12.840000 12.181000 19.645000 16.858000 19.046000 17.805000 18.778000 17.292000 18.012000 15.862000 13.422000 13.043000 12.870000 12.978000 30.201000 20.471000 17.721000 17.763000 18.501000 17.990000 15.719000 13.131000 16.392000
