



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 2.000000 0.001909 11.500000 3.000000 11.982000 12.364000 11.749000 10.983000 11.029000 9.625000 14.475000 12.094000 13.324000 11.522000 13.382000 12.690000 12.835000 11.584000 10.352000 10.613000 11.079000 10.990000 23.447000 15.243000 12.637000 13.053000 12.297000 13.190000 11.632000 10.600000 12.229000
1.000000 0.001000 3.000000 0.002864 11.500000 3.000000 11.436000 11.419000 11.019000 10.179000 10.669000 9.276000 13.420000 11.184000 12.345000 10.963000 12.367000 11.871000 11.636000 10.612000 9.739000 10.143000 10.721000 10.610000 22.611000 14.435000 12.089000 12.157000 11.621000 12.258000 10.719000 10.072000 11.334000
1.000000 0.001000 4.000000 0.003818 11.500000 3.000000 10.987000 10.780000 10.439000 9.625000 10.365000 9.015000 12.647000 10.564000 11.668000 10.530000 11.666000 11.291000 10.821000 9.957000 9.313000 9.787000 10.419000 10.296000 21.949000 13.829000 11.621000 11.530000 11.099000 11.603000 10.091000 9.685000 10.710000
1.000000 0.001000 5.000000 0.004773 11.500000 3.000000 10.651000 10.351000 10.025000 9.248000 10.123000 8.823000 12.097000 10.148000 11.202000 10.218000 11.188000 10.884000 10.272000 9.517000 9.020000 9.522000 10.179000 10.049000 21.455000 13.388000 11.266000 11.094000 10.722000 11.147000 9.662000 9.409000 10.281000
1.000000 0.001000 6.000000 0.005727 11.500000 3.000000 10.391000 10.042000 9.717000 8.972000 9.926000 8.675000 11.683000 9.848000 10.860000 9.980000 10.838000 10.580000 9.877000 9.200000 8.803000 9.316000 9.984000 9.851000 21.067000 13.049000 10.989000 10.770000 10.437000 10.808000 9.348000 9.199000 9.964000
1.000000 0.001000 7.000000 0.006682 11.500000 3.000000 10.179000 9.799000 9.473000 8.756000 9.761000 8.554000 11.351000 9.613000 10.588000 9.787000 10.560000 10.336000 9.569000 8.953000 8.632000 9.148000 9.819000 9.686000 20.739000 12.770000 10.761000 10.511000 10.207000 10.538000 9.102000 9.031000 9.714000
1.000000 0.001000 8.000000 0.007637 11.500000 3.000000 9.998000 9.598000 9.269000 8.576000 9.615000 8.449000 11.070000 9.418000 10.359000 9.622000 10.327000 10.129000 9.315000 8.749000 8.488000 9.003000 9.675000 9.541000 20.452000 12.529000 10.566000 10.291000 10.010000 10.310000 8.897000 8.888000 9.503000
1.000000 0.001000 9.000000 0.008591 11.500000 3.000000 9.856000 9.447000 9.116000 8.440000 9.498000 8.368000 10.851000 9.271000 10.183000 9.495000 10.149000 9.969000 9.124000 8.596000 8.379000 8.888000 9.558000 9.425000 20.217000 12.337000 10.412000 10.122000 9.858000 10.133000 8.742000 8.777000 9.343000
1.000000 0.001000 10.000000 0.009546 11.500000 3.000000 9.740000 9.326000 8.996000 8.332000 9.399000 8.302000 10.674000 9.156000 10.041000 9.392000 10.005000 9.839000 8.972000 8.476000 8.291000 8.794000 9.460000 9.327000 20.019000 12.178000 10.286000 9.985000 9.736000 9.991000 8.619000 8.687000 9.214000
1.000000 0.001000 11.000000 0.010500 11.500000 3.000000 9.649000 9.235000 8.906000 8.250000 9.319000 8.250000 10.535000 9.068000 9.931000 9.313000 9.894000 9.737000 8.858000 8.385000 8.223000 8.718000 9.379000 9.248000 19.857000 12.050000 10.186000 9.879000 9.640000 9.880000 8.525000 8.617000 9.116000
