



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 10.250000 1.000000 15.829000 15.571000 13.637000 12.856000 11.513000 10.153000 17.455000 15.351000 15.538000 13.291000 15.160000 14.209000 14.446000 13.584000 11.821000 11.458000 11.585000 11.461000 25.949000 19.228000 16.512000 16.141000 14.132000 14.826000 13.525000 11.629000 14.024000
1.000000 0.001000 2.000000 0.001909 10.250000 1.000000 14.211000 13.360000 12.193000 11.393000 10.820000 9.579000 14.895000 13.277000 13.417000 11.982000 13.027000 12.400000 12.420000 11.787000 10.751000 10.600000 10.882000 10.783000 23.995000 16.988000 14.826000 13.948000 12.619000 12.840000 11.842000 10.749000 12.261000
1.000000 0.001000 3.000000 0.002864 10.250000 1.000000 13.424000 12.456000 11.522000 10.748000 10.471000 9.311000 13.804000 12.414000 12.537000 11.430000 12.129000 11.640000 11.522000 11.018000 10.288000 10.212000 10.530000 10.436000 23.047000 15.960000 13.991000 13.031000 11.951000 11.991000 11.098000 10.340000 11.483000
1.000000 0.001000 4.000000 0.003818 10.250000 1.000000 12.888000 11.905000 11.078000 10.339000 10.227000 9.133000 13.119000 11.879000 11.991000 11.076000 11.572000 11.163000 10.954000 10.541000 9.995000 9.959000 10.286000 10.193000 22.396000 15.282000 13.423000 12.458000 11.518000 11.456000 10.625000 10.071000 10.989000
1.000000 0.001000 5.000000 0.004773 10.250000 1.000000 12.471000 11.509000 10.746000 10.041000 10.036000 9.001000 12.619000 11.490000 11.595000 10.812000 11.170000 10.815000 10.546000 10.199000 9.781000 9.771000 10.094000 10.004000 21.886000 14.767000 12.983000 12.039000 11.194000 11.068000 10.281000 9.870000 10.627000
1.000000 0.001000 6.000000 0.005727 10.250000 1.000000 12.134000 11.206000 10.487000 9.813000 9.881000 8.898000 12.233000 11.190000 11.291000 10.606000 10.865000 10.549000 10.238000 9.941000 9.615000 9.624000 9.940000 9.850000 21.471000 14.356000 12.628000 11.715000 10.941000 10.770000 10.018000 9.711000 10.350000
1.000000 0.001000 7.000000 0.006682 10.250000 1.000000 11.856000 10.968000 10.284000 9.634000 9.755000 8.818000 11.927000 10.952000 11.052000 10.441000 10.626000 10.341000 9.999000 9.741000 9.483000 9.507000 9.813000 9.725000 21.127000 14.020000 12.337000 11.457000 10.740000 10.536000 9.813000 9.584000 10.132000
1.000000 0.001000 8.000000 0.007637 10.250000 1.000000 11.629000 10.782000 10.126000 9.495000 9.653000 8.757000 11.685000 10.764000 10.865000 10.313000 10.441000 10.177000 9.813000 9.587000 9.381000 9.415000 9.711000 9.625000 20.841000 13.746000 12.099000 11.252000 10.581000 10.353000 9.653000 9.484000 9.962000
1.000000 0.001000 9.000000 0.008591 10.250000 1.000000 11.439000 10.631000 9.999000 9.383000 9.569000 8.709000 11.488000 10.612000 10.714000 10.208000 10.293000 10.046000 9.665000 9.464000 9.298000 9.341000 9.627000 9.543000 20.600000 13.516000 11.901000 11.085000 10.453000 10.205000 9.524000 9.402000 9.824000
1.000000 0.001000 10.000000 0.009546 10.250000 1.000000 11.279000 10.510000 9.899000 9.294000 9.500000 8.672000 11.328000 10.488000 10.592000 10.124000 10.174000 9.941000 9.546000 9.366000 9.231000 9.282000 9.558000 9.475000 20.396000 13.324000 11.736000 10.949000 10.349000 10.087000 9.421000 9.336000 9.714000
1.000000 0.001000 11.000000 0.010500 10.250000 1.000000 11.167000 10.429000 9.834000 9.236000 9.453000 8.650000 11.219000 10.404000 10.511000 10.069000 10.096000 9.872000 9.469000 9.303000 9.187000 9.242000 9.510000 9.429000 20.247000 13.186000 11.619000 10.857000 10.279000 10.009000 9.354000 9.292000 9.641000
1.000000 0.001000 12.000000 0.011455 10.250000 1.000000 11.069000 10.361000 9.781000 9.187000 9.412000 8.631000 11.126000 10.333000 10.443000 10.022000 10.031000 9.814000 9.403000 9.250000 9.150000 9.209000 9.470000 9.389000 20.117000 13.066000 11.518000 10.779000 10.221000 9.944000 9.297000 9.254000 9.580000
1.000000 0.001000 13.000000 0.012410 10.250000 1.000000 10.979000 10.299000 9.732000 9.143000 9.374000 8.614000 11.041000 10.269000 10.380000 9.978000 9.972000 9.761000 9.344000 9.202000 9.115000 9.177000 9.432000 9.352000 19.997000 12.956000 11.425000 10.707000 10.167000 9.884000 9.246000 9.219000 9.525000
