  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 1.400  6757.    0.56  4.29  1.400    0.938   2.59   2.42   2.37  



  t (Gyr) =   0.0500
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.015  1760.   -3.74  4.28  0.147    1.000  12.55  11.36  10.61  
 0.020  1838.   -3.72  4.46  0.138    1.000  12.29  11.24  10.62  
 0.030  2304.   -3.28  4.59  0.145    1.000  10.71  10.15   9.79  
 0.040  2525.   -3.05  4.65  0.157    1.000  10.23   9.66   9.32  
 0.050  2671.   -2.88  4.67  0.172    1.000   9.82   9.25   8.93  
 0.060  2804.   -2.73  4.69  0.184    0.999   9.52   8.96   8.65  
 0.070  2882.   -2.63  4.69  0.197    0.992   9.28   8.72   8.42  
 0.072  2896.   -2.61  4.70  0.199    0.989   9.24   8.67   8.37  
 0.075  2916.   -2.57  4.69  0.204    0.982   9.17   8.60   8.31  
 0.080  2945.   -2.53  4.70  0.210    0.960   9.07   8.50   8.21  
 0.090  2996.   -2.45  4.69  0.223    0.862   8.88   8.31   8.03  
 0.100  3037.   -2.38  4.70  0.234    0.596   8.73   8.16   7.88  
 0.200  3280.   -1.94  4.69  0.335    0.000   7.72   7.11   6.86  
 0.300  3407.   -1.69  4.68  0.415    0.000   7.14   6.52   6.27  
 0.400  3512.   -1.50  4.67  0.483    0.000   6.71   6.08   5.85  
 0.500  3617.   -1.34  4.65  0.552    0.000   6.33   5.68   5.45  
 0.600  3821.   -1.13  4.62  0.626    0.000   5.90   5.21   5.01  
 0.700  4270.   -0.83  4.58  0.708    0.000   5.28   4.59   4.45  
 0.800  4938.   -0.49  4.55  0.783    0.005   4.62   4.12   4.02  
 0.900  5236.   -0.36  4.58  0.808    0.083   4.39   3.97   3.88  
 1.000  5536.   -0.17  4.53  0.902    0.307   4.01   3.64   3.57  
 1.100  5833.    0.03  4.46  1.021    0.574   3.61   3.30   3.23  
 1.200  6133.    0.23  4.39  1.159    0.770   3.22   2.96   2.89  
 1.300  6435.    0.40  4.33  1.293    0.880   2.87   2.66   2.60  
 1.400  6759.    0.56  4.29  1.400    0.938   2.59   2.42   2.37  



  t (Gyr) =   0.0800
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.030  2047.   -3.58  4.69  0.130    1.000  11.58  10.83  10.42  
 0.040  2387.   -3.26  4.75  0.139    1.000  10.70  10.12   9.78  
 0.050  2586.   -3.06  4.79  0.149    0.999  10.25   9.69   9.36  
 0.060  2709.   -2.92  4.81  0.159    0.985   9.95   9.37   9.06  
 0.070  2829.   -2.78  4.82  0.170    0.864   9.66   9.09   8.79  
 0.072  2845.   -2.76  4.82  0.172    0.801   9.62   9.04   8.74  
 0.075  2869.   -2.73  4.82  0.175    0.680   9.55   8.98   8.68  
 0.080  2905.   -2.69  4.83  0.181    0.407   9.44   8.87   8.58  
 0.090  2962.   -2.60  4.83  0.191    0.020   9.25   8.68   8.40  
 0.100  3010.   -2.54  4.84  0.200    0.000   9.10   8.52   8.25  
 0.200  3275.   -2.08  4.82  0.287    0.000   8.06   7.46   7.21  
 0.300  3406.   -1.82  4.81  0.357    0.000   7.46   6.85   6.61  
 0.400  3522.   -1.61  4.78  0.424    0.000   6.99   6.37   6.13  
 0.500  3668.   -1.40  4.74  0.500    0.000   6.50   5.85   5.63  
 0.600  4039.   -1.09  4.68  0.588    0.000   5.86   5.17   4.99  
 0.700  4497.   -0.83  4.67  0.641    0.000   5.33   4.71   4.58  
 0.800  4830.   -0.61  4.64  0.710    0.005   4.90   4.37   4.26  
 0.900  5212.   -0.37  4.58  0.805    0.082   4.41   3.98   3.89  
 1.000  5533.   -0.17  4.52  0.908    0.307   3.99   3.63   3.55  
 1.100  5876.    0.05  4.46  1.027    0.574   3.58   3.28   3.21  
 1.200  6164.    0.24  4.39  1.161    0.770   3.20   2.95   2.88  
 1.300  6451.    0.41  4.33  1.293    0.880   2.86   2.65   2.59  
 1.400  6766.    0.56  4.29  1.402    0.938   2.59   2.42   2.36  



  t (Gyr) =   0.1000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.030  1912.   -3.74  4.72  0.125    1.000  12.11  11.19  10.71  
 0.040  2311.   -3.36  4.80  0.131    1.000  10.94  10.35  10.01  
 0.050  2525.   -3.15  4.84  0.140    0.999  10.48   9.90   9.58  
 0.060  2670.   -3.00  4.87  0.149    0.953  10.14   9.57   9.25  
 0.070  2794.   -2.87  4.88  0.159    0.587   9.85   9.28   8.97  
 0.072  2813.   -2.84  4.88  0.161    0.447   9.80   9.23   8.92  
 0.075  2839.   -2.81  4.88  0.164    0.233   9.73   9.16   8.86  
 0.080  2879.   -2.76  4.89  0.168    0.028   9.62   9.05   8.76  
 0.090  2942.   -2.68  4.89  0.178    0.000   9.43   8.86   8.57  
 0.100  2993.   -2.61  4.90  0.186    0.000   9.27   8.69   8.42  
 0.200  3272.   -2.14  4.89  0.267    0.000   8.22   7.62   7.37  
 0.300  3409.   -1.87  4.86  0.336    0.000   7.60   6.99   6.75  
 0.400  3529.   -1.65  4.83  0.402    0.000   7.10   6.48   6.24  
 0.500  3705.   -1.41  4.77  0.484    0.000   6.54   5.89   5.67  
 0.600  4100.   -1.09  4.71  0.568    0.000   5.88   5.19   5.03  
 0.700  4402.   -0.88  4.69  0.629    0.000   5.44   4.79   4.66  
 0.800  4826.   -0.61  4.64  0.712    0.005   4.89   4.36   4.26  
 0.900  5209.   -0.37  4.58  0.807    0.082   4.41   3.98   3.89  
 1.000  5541.   -0.16  4.52  0.910    0.307   3.99   3.62   3.55  
 1.100  5886.    0.05  4.45  1.028    0.574   3.57   3.27   3.20  
 1.200  6170.    0.24  4.39  1.162    0.770   3.20   2.94   2.88  
 1.300  6453.    0.41  4.33  1.294    0.880   2.86   2.65   2.59  
 1.400  6766.    0.56  4.29  1.404    0.938   2.58   2.42   2.36  



  t (Gyr) =   0.1200
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.030  1779.   -3.88  4.75  0.121    1.000  12.89  11.72  10.98  
 0.040  2225.   -3.46  4.84  0.126    1.000  11.27  10.59  10.22  
 0.050  2471.   -3.23  4.88  0.134    0.997  10.66  10.07   9.75  
 0.060  2635.   -3.06  4.91  0.142    0.901  10.29   9.72   9.40  
 0.070  2757.   -2.94  4.93  0.150    0.244  10.02   9.44   9.13  
 0.072  2780.   -2.91  4.93  0.152    0.111   9.96   9.39   9.08  
 0.075  2810.   -2.88  4.93  0.155    0.017   9.89   9.31   9.01  
 0.080  2853.   -2.83  4.94  0.159    0.000   9.78   9.20   8.90  
 0.090  2924.   -2.74  4.94  0.168    0.000   9.58   9.00   8.71  
 0.100  2978.   -2.67  4.95  0.176    0.000   9.41   8.83   8.55  
 0.200  3270.   -2.19  4.93  0.253    0.000   8.34   7.74   7.49  
 0.300  3411.   -1.91  4.90  0.320    0.000   7.70   7.09   6.85  
 0.400  3536.   -1.68  4.86  0.387    0.000   7.17   6.55   6.32  
 0.500  3727.   -1.42  4.78  0.474    0.000   6.57   5.92   5.70  
 0.600  4030.   -1.15  4.73  0.551    0.000   6.01   5.32   5.15  
 0.700  4400.   -0.88  4.68  0.631    0.000   5.43   4.78   4.65  
 0.800  4825.   -0.61  4.63  0.714    0.005   4.89   4.36   4.25  
 0.900  5208.   -0.37  4.58  0.808    0.082   4.41   3.97   3.88  
 1.000  5547.   -0.16  4.52  0.911    0.307   3.98   3.62   3.54  
 1.100  5889.    0.05  4.45  1.029    0.574   3.57   3.27   3.20  
 1.200  6172.    0.24  4.39  1.163    0.770   3.19   2.94   2.88  
 1.300  6455.    0.41  4.33  1.296    0.880   2.86   2.65   2.59  
 1.400  6767.    0.56  4.29  1.405    0.938   2.58   2.41   2.36  



  t (Gyr) =   0.2000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.040  1940.   -3.78  4.92  0.115    1.000  12.27  11.33  10.87  
 0.050  2268.   -3.48  4.99  0.118    0.986  11.31  10.64  10.30  
 0.060  2488.   -3.28  5.03  0.124    0.466  10.79  10.20   9.89  
 0.070  2639.   -3.14  5.05  0.130    0.000  10.48   9.89   9.59  
 0.072  2664.   -3.11  5.06  0.132    0.000  10.42   9.84   9.54  
 0.075  2698.   -3.08  5.06  0.133    0.000  10.35   9.77   9.47  
 0.080  2756.   -3.02  5.07  0.137    0.000  10.22   9.64   9.34  
 0.090  2853.   -2.91  5.07  0.144    0.000   9.99   9.41   9.11  
 0.100  2926.   -2.83  5.07  0.152    0.000   9.79   9.21   8.93  
 0.200  3264.   -2.28  5.03  0.227    0.000   8.58   7.99   7.73  
 0.300  3414.   -1.98  4.97  0.297    0.000   7.87   7.26   7.02  
 0.400  3537.   -1.73  4.91  0.368    0.000   7.29   6.67   6.43  
 0.500  3701.   -1.46  4.82  0.456    0.000   6.67   6.03   5.80  
 0.600  3981.   -1.17  4.73  0.552    0.000   6.04   5.36   5.18  
 0.700  4390.   -0.88  4.68  0.635    0.000   5.43   4.77   4.64  
 0.800  4824.   -0.61  4.63  0.717    0.004   4.88   4.35   4.24  
 0.900  5207.   -0.37  4.57  0.811    0.082   4.40   3.97   3.88  
 1.000  5567.   -0.15  4.52  0.914    0.307   3.96   3.61   3.53  
 1.100  5895.    0.06  4.45  1.032    0.574   3.56   3.26   3.19  
 1.200  6177.    0.24  4.38  1.167    0.770   3.18   2.93   2.87  
 1.300  6456.    0.42  4.32  1.302    0.880   2.85   2.64   2.58  
 1.400  6766.    0.57  4.28  1.416    0.938   2.57   2.40   2.34  



  t (Gyr) =   0.3000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.040  1667.   -4.09  4.97  0.109    1.000  13.75  12.42  11.49  
 0.050  2063.   -3.72  5.06  0.109    0.970  11.99  11.20  10.82  
 0.060  2331.   -3.48  5.11  0.113    0.084  11.24  10.63  10.33  
 0.070  2519.   -3.31  5.14  0.118    0.000  10.86  10.27   9.97  
 0.072  2552.   -3.28  5.14  0.119    0.000  10.80  10.20   9.90  
 0.075  2594.   -3.24  5.15  0.120    0.000  10.71  10.12   9.82  
 0.080  2660.   -3.17  5.16  0.123    0.000  10.56   9.98   9.68  
 0.090  2782.   -3.04  5.16  0.130    0.000  10.29   9.71   9.41  
 0.100  2874.   -2.94  5.16  0.138    0.000  10.07   9.48   9.20  
 0.200  3261.   -2.32  5.05  0.220    0.000   8.65   8.06   7.81  
 0.300  3415.   -1.99  4.98  0.293    0.000   7.90   7.29   7.05  
 0.400  3528.   -1.73  4.91  0.367    0.000   7.30   6.68   6.45  
 0.500  3689.   -1.46  4.81  0.459    0.000   6.67   6.03   5.80  
 0.600  3971.   -1.17  4.73  0.554    0.000   6.04   5.36   5.17  
 0.700  4388.   -0.88  4.67  0.637    0.000   5.42   4.77   4.63  
 0.800  4822.   -0.61  4.63  0.718    0.004   4.88   4.34   4.24  
 0.900  5209.   -0.37  4.57  0.813    0.081   4.39   3.96   3.87  
 1.000  5572.   -0.14  4.51  0.917    0.307   3.96   3.60   3.52  
 1.100  5898.    0.06  4.45  1.035    0.574   3.55   3.25   3.19  
 1.200  6179.    0.25  4.38  1.173    0.770   3.17   2.92   2.86  
 1.300  6456.    0.42  4.32  1.310    0.880   2.84   2.63   2.57  
 1.400  6761.    0.58  4.27  1.429    0.938   2.55   2.38   2.32  



  t (Gyr) =   0.4000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.050  1836.   -3.96  5.10  0.105    0.957  12.85  11.80  11.22  
 0.060  2207.   -3.62  5.16  0.107    0.011  11.72  11.01  10.68  
 0.070  2419.   -3.43  5.20  0.111    0.000  11.15  10.54  10.25  
 0.072  2457.   -3.40  5.20  0.112    0.000  11.07  10.47  10.18  
 0.075  2508.   -3.35  5.21  0.113    0.000  10.97  10.37  10.08  
 0.080  2594.   -3.27  5.21  0.116    0.000  10.79  10.19   9.90  
 0.090  2726.   -3.13  5.21  0.123    0.000  10.48   9.90   9.61  
 0.100  2844.   -3.00  5.20  0.131    0.000  10.20   9.61   9.33  
 0.200  3260.   -2.32  5.06  0.219    0.000   8.67   8.07   7.82  
 0.300  3415.   -1.99  4.98  0.292    0.000   7.90   7.30   7.05  
 0.400  3526.   -1.73  4.91  0.369    0.000   7.29   6.67   6.44  
 0.500  3685.   -1.46  4.81  0.460    0.000   6.67   6.02   5.80  
 0.600  3969.   -1.17  4.73  0.555    0.000   6.04   5.36   5.17  
 0.700  4387.   -0.87  4.67  0.638    0.000   5.42   4.76   4.63  
 0.800  4821.   -0.61  4.63  0.720    0.004   4.87   4.34   4.23  
 0.900  5210.   -0.36  4.57  0.814    0.081   4.39   3.96   3.87  
 1.000  5574.   -0.14  4.51  0.919    0.307   3.95   3.59   3.52  
 1.100  5901.    0.06  4.44  1.040    0.574   3.54   3.24   3.18  
 1.200  6181.    0.25  4.37  1.180    0.770   3.16   2.91   2.85  
 1.300  6453.    0.43  4.31  1.318    0.880   2.82   2.61   2.55  
 1.400  6750.    0.58  4.27  1.442    0.938   2.53   2.36   2.31  



  t (Gyr) =   0.5000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.050  1698.   -4.12  5.12  0.102    0.947  13.68  12.42  11.54  
 0.060  2082.   -3.76  5.19  0.103    0.001  11.99  11.27  10.96  
 0.070  2335.   -3.53  5.23  0.106    0.000  11.35  10.76  10.48  
 0.072  2378.   -3.49  5.24  0.107    0.000  11.28  10.68  10.39  
 0.075  2435.   -3.44  5.25  0.108    0.000  11.18  10.57  10.28  
 0.080  2539.   -3.34  5.25  0.112    0.000  10.95  10.35  10.06  
 0.090  2696.   -3.18  5.24  0.119    0.000  10.58  10.00   9.72  
 0.100  2828.   -3.03  5.22  0.128    0.000  10.27   9.68   9.40  
 0.200  3260.   -2.32  5.06  0.219    0.000   8.67   8.08   7.82  
 0.300  3415.   -1.99  4.98  0.292    0.000   7.90   7.30   7.05  
 0.400  3524.   -1.73  4.90  0.370    0.000   7.28   6.67   6.43  
 0.500  3682.   -1.46  4.81  0.461    0.000   6.66   6.02   5.80  
 0.600  3968.   -1.17  4.73  0.556    0.000   6.04   5.35   5.17  
 0.700  4386.   -0.87  4.67  0.639    0.000   5.42   4.76   4.63  
 0.800  4821.   -0.60  4.62  0.721    0.003   4.87   4.34   4.23  
 0.900  5211.   -0.36  4.57  0.816    0.080   4.38   3.95   3.86  
 1.000  5576.   -0.14  4.51  0.921    0.307   3.94   3.59   3.51  
 1.100  5904.    0.07  4.44  1.044    0.574   3.53   3.24   3.17  
 1.200  6182.    0.26  4.37  1.185    0.770   3.15   2.90   2.84  
 1.300  6451.    0.43  4.31  1.326    0.880   2.81   2.60   2.54  
 1.400  6742.    0.59  4.26  1.455    0.938   2.51   2.34   2.29  



  t (Gyr) =   0.6250
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.050  1555.   -4.29  5.14  0.100    0.938  14.21  12.90  12.00  
 0.060  1908.   -3.94  5.22  0.099    0.000  12.60  11.73  11.30  
 0.070  2248.   -3.63  5.27  0.101    0.000  11.69  11.05  10.75  
 0.072  2301.   -3.58  5.27  0.103    0.000  11.44  10.88  10.61  
 0.075  2370.   -3.52  5.28  0.104    0.000  11.34  10.74  10.46  
 0.080  2485.   -3.41  5.28  0.108    0.000  11.11  10.50  10.21  
 0.090  2671.   -3.21  5.26  0.116    0.000  10.66  10.09   9.80  
 0.100  2817.   -3.05  5.23  0.127    0.000  10.32   9.73   9.44  
 0.200  3260.   -2.32  5.06  0.218    0.000   8.67   8.08   7.82  
 0.300  3415.   -1.99  4.98  0.292    0.000   7.90   7.29   7.05  
 0.400  3522.   -1.72  4.90  0.372    0.000   7.28   6.66   6.42  
 0.500  3681.   -1.46  4.81  0.462    0.000   6.66   6.02   5.80  
 0.600  3969.   -1.17  4.72  0.557    0.000   6.03   5.35   5.16  
 0.700  4385.   -0.87  4.67  0.640    0.000   5.41   4.76   4.62  
 0.800  4821.   -0.60  4.62  0.722    0.003   4.86   4.33   4.23  
 0.900  5213.   -0.36  4.57  0.818    0.080   4.38   3.95   3.86  
 1.000  5580.   -0.14  4.51  0.923    0.307   3.94   3.58   3.51  
 1.100  5907.    0.07  4.44  1.048    0.574   3.52   3.23   3.16  
 1.200  6183.    0.26  4.36  1.193    0.770   3.14   2.89   2.82  
 1.300  6446.    0.44  4.30  1.338    0.880   2.79   2.58   2.52  
 1.400  6727.    0.59  4.25  1.474    0.938   2.49   2.32   2.26  



  t (Gyr) =   0.8000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.060  1716.   -4.15  5.25  0.096    0.000  13.65  12.46  11.65  
 0.070  2136.   -3.75  5.30  0.098    0.000  11.98  11.30  11.03  
 0.072  2212.   -3.69  5.31  0.099    0.000  11.91  11.22  10.91  
 0.075  2294.   -3.61  5.31  0.100    0.000  11.50  10.94  10.67  
 0.080  2436.   -3.47  5.30  0.105    0.000  11.24  10.63  10.35  
 0.090  2656.   -3.24  5.27  0.115    0.000  10.72  10.14   9.85  
 0.100  2812.   -3.06  5.24  0.126    0.000  10.34   9.75   9.46  
 0.200  3260.   -2.32  5.06  0.218    0.000   8.67   8.08   7.82  
 0.300  3415.   -1.99  4.98  0.293    0.000   7.90   7.29   7.05  
 0.400  3521.   -1.72  4.89  0.374    0.000   7.27   6.65   6.41  
 0.500  3680.   -1.46  4.81  0.463    0.000   6.66   6.02   5.79  
 0.600  3968.   -1.17  4.72  0.558    0.000   6.03   5.35   5.16  
 0.700  4386.   -0.87  4.67  0.641    0.000   5.41   4.75   4.62  
 0.800  4823.   -0.60  4.62  0.724    0.003   4.86   4.33   4.22  
 0.900  5216.   -0.36  4.56  0.820    0.079   4.37   3.94   3.85  
 1.000  5586.   -0.13  4.50  0.927    0.306   3.92   3.57   3.50  
 1.100  5910.    0.08  4.43  1.054    0.574   3.51   3.21   3.15  
 1.200  6184.    0.27  4.36  1.202    0.770   3.12   2.87   2.80  
 1.300  6442.    0.45  4.29  1.356    0.880   2.77   2.55   2.49  
 1.400  6705.    0.61  4.23  1.502    0.938   2.46   2.28   2.22  



  t (Gyr) =   1.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.060  1584.   -4.30  5.26  0.095    0.000  14.25  12.96  12.06  
 0.070  2047.   -3.85  5.33  0.095    0.000  12.26  11.52  11.21  
 0.072  2109.   -3.79  5.33  0.096    0.000  12.02  11.35  11.10  
 0.075  2243.   -3.67  5.33  0.098    0.000  11.78  11.14  10.85  
 0.080  2400.   -3.51  5.32  0.103    0.000  11.34  10.72  10.45  
 0.090  2648.   -3.25  5.28  0.114    0.000  10.75  10.16   9.87  
 0.100  2810.   -3.06  5.24  0.125    0.000  10.35   9.75   9.46  
 0.200  3261.   -2.32  5.06  0.219    0.000   8.67   8.08   7.82  
 0.300  3415.   -1.99  4.98  0.293    0.000   7.89   7.29   7.05  
 0.400  3520.   -1.72  4.89  0.375    0.000   7.26   6.64   6.41  
 0.500  3680.   -1.46  4.80  0.463    0.000   6.66   6.01   5.79  
 0.600  3967.   -1.16  4.72  0.559    0.000   6.03   5.34   5.16  
 0.700  4387.   -0.87  4.67  0.642    0.000   5.41   4.75   4.62  
 0.800  4826.   -0.60  4.62  0.725    0.002   4.85   4.32   4.22  
 0.900  5220.   -0.35  4.56  0.822    0.078   4.36   3.93   3.84  
 1.000  5592.   -0.13  4.50  0.931    0.306   3.91   3.56   3.49  
 1.100  5916.    0.09  4.43  1.062    0.574   3.49   3.20   3.13  
 1.200  6187.    0.28  4.35  1.214    0.770   3.10   2.85   2.78  
 1.300  6438.    0.46  4.28  1.374    0.880   2.74   2.53   2.47  
 1.400  6684.    0.62  4.21  1.533    0.938   2.42   2.24   2.18  



  t (Gyr) =   2.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1720.   -4.19  5.36  0.091    0.000  13.68  12.55  11.79  
 0.072  1811.   -4.09  5.37  0.092    0.000  13.13  12.20  11.62  
 0.075  2083.   -3.84  5.37  0.094    0.000  12.13  11.45  11.20  
 0.080  2348.   -3.57  5.34  0.100    0.000  11.44  10.86  10.59  
 0.090  2643.   -3.25  5.28  0.113    0.000  10.76  10.18   9.89  
 0.100  2810.   -3.06  5.24  0.125    0.000  10.35   9.75   9.47  
 0.200  3261.   -2.32  5.06  0.219    0.000   8.67   8.07   7.82  
 0.300  3415.   -1.98  4.97  0.295    0.000   7.88   7.27   7.03  
 0.400  3519.   -1.71  4.89  0.377    0.000   7.25   6.63   6.39  
 0.500  3679.   -1.45  4.80  0.466    0.000   6.64   6.00   5.78  
 0.600  3969.   -1.16  4.72  0.561    0.000   6.01   5.33   5.15  
 0.700  4396.   -0.86  4.66  0.646    0.000   5.39   4.73   4.60  
 0.800  4842.   -0.59  4.61  0.731    0.001   4.83   4.30   4.20  
 0.900  5244.   -0.33  4.55  0.833    0.073   4.32   3.90   3.81  
 1.000  5627.   -0.10  4.48  0.951    0.306   3.85   3.51   3.43  
 1.100  5945.    0.13  4.40  1.101    0.574   3.40   3.11   3.04  
 1.200  6202.    0.33  4.30  1.284    0.770   2.97   2.72   2.66  
 1.300  6403.    0.52  4.20  1.493    0.880   2.57   2.35   2.29  
 1.400  6464.    0.68  4.09  1.765    0.938   2.19   1.98   1.92  



  t (Gyr) =   3.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1650.   -4.27  5.37  0.091    0.000  14.05  12.83  12.01  
 0.072  1793.   -4.11  5.37  0.092    0.000  13.24  12.27  11.66  
 0.075  2052.   -3.87  5.38  0.093    0.000  12.28  11.56  11.27  
 0.080  2343.   -3.58  5.34  0.100    0.000  11.44  10.87  10.61  
 0.090  2644.   -3.25  5.28  0.113    0.000  10.76  10.17   9.89  
 0.100  2810.   -3.06  5.24  0.125    0.000  10.35   9.75   9.47  
 0.200  3261.   -2.32  5.06  0.219    0.000   8.67   8.07   7.82  
 0.300  3416.   -1.97  4.97  0.297    0.000   7.86   7.26   7.01  
 0.400  3520.   -1.71  4.88  0.378    0.000   7.24   6.62   6.39  
 0.500  3679.   -1.45  4.80  0.468    0.000   6.64   5.99   5.77  
 0.600  3974.   -1.15  4.71  0.563    0.000   6.00   5.32   5.13  
 0.700  4407.   -0.85  4.66  0.648    0.000   5.37   4.72   4.59  
 0.800  4859.   -0.57  4.61  0.736    0.001   4.80   4.28   4.17  
 0.900  5270.   -0.31  4.54  0.845    0.070   4.28   3.86   3.77  
 1.000  5661.   -0.06  4.46  0.974    0.306   3.78   3.45   3.37  
 1.100  5974.    0.17  4.36  1.152    0.574   3.29   3.01   2.94  
 1.200  6191.    0.39  4.24  1.377    0.770   2.82   2.57   2.51  
 1.300  6177.    0.56  4.10  1.685    0.880   2.39   2.14   2.08  



  t (Gyr) =   4.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1631.   -4.29  5.37  0.090    0.000  14.13  12.90  12.06  
 0.072  1790.   -4.12  5.37  0.092    0.000  13.26  12.29  11.66  
 0.075  2041.   -3.88  5.38  0.092    0.000  12.33  11.60  11.29  
 0.080  2343.   -3.58  5.34  0.100    0.000  11.45  10.87  10.61  
 0.090  2644.   -3.25  5.28  0.113    0.000  10.76  10.17   9.89  
 0.100  2811.   -3.06  5.24  0.125    0.000  10.35   9.75   9.47  
 0.200  3262.   -2.32  5.06  0.219    0.000   8.66   8.07   7.81  
 0.300  3416.   -1.97  4.96  0.299    0.000   7.84   7.24   7.00  
 0.400  3520.   -1.71  4.88  0.379    0.000   7.23   6.62   6.38  
 0.500  3680.   -1.45  4.79  0.469    0.000   6.63   5.99   5.76  
 0.600  3979.   -1.15  4.71  0.565    0.000   5.99   5.31   5.12  
 0.700  4418.   -0.85  4.66  0.651    0.000   5.35   4.70   4.57  
 0.800  4878.   -0.56  4.60  0.742    0.000   4.77   4.26   4.15  
 0.900  5297.   -0.29  4.53  0.857    0.068   4.23   3.82   3.74  
 1.000  5697.   -0.03  4.44  1.002    0.306   3.71   3.38   3.30  
 1.100  5996.    0.23  4.31  1.214    0.574   3.17   2.89   2.82  
 1.200  6053.    0.43  4.16  1.503    0.770   2.68   2.42   2.35  



  t (Gyr) =   5.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1627.   -4.30  5.37  0.090    0.000  14.15  12.92  12.07  
 0.072  1790.   -4.12  5.37  0.092    0.000  13.27  12.29  11.67  
 0.075  2038.   -3.89  5.38  0.092    0.000  12.34  11.61  11.30  
 0.080  2343.   -3.58  5.34  0.100    0.000  11.44  10.87  10.61  
 0.090  2644.   -3.25  5.28  0.113    0.000  10.76  10.17   9.89  
 0.100  2811.   -3.06  5.24  0.125    0.000  10.35   9.75   9.46  
 0.200  3262.   -2.32  5.06  0.219    0.000   8.66   8.06   7.81  
 0.300  3416.   -1.96  4.96  0.301    0.000   7.83   7.23   6.98  
 0.400  3521.   -1.71  4.88  0.380    0.000   7.23   6.61   6.37  
 0.500  3682.   -1.44  4.79  0.470    0.000   6.62   5.98   5.76  
 0.600  3984.   -1.15  4.71  0.567    0.000   5.98   5.30   5.11  
 0.700  4430.   -0.84  4.65  0.654    0.000   5.34   4.69   4.56  
 0.800  4896.   -0.55  4.59  0.748    0.000   4.74   4.23   4.13  
 0.900  5325.   -0.27  4.51  0.870    0.066   4.19   3.78   3.69  
 1.000  5732.    0.01  4.41  1.036    0.306   3.62   3.30   3.22  
 1.100  5971.    0.27  4.26  1.292    0.574   3.04   2.76   2.69  



  t (Gyr) =   8.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1626.   -4.30  5.37  0.090    0.000  14.16  12.92  12.07  
 0.072  1789.   -4.12  5.37  0.092    0.000  13.27  12.29  11.67  
 0.075  2036.   -3.89  5.38  0.092    0.000  12.35  11.62  11.30  
 0.080  2344.   -3.58  5.34  0.100    0.000  11.44  10.87  10.61  
 0.090  2645.   -3.25  5.28  0.114    0.000  10.76  10.17   9.88  
 0.100  2812.   -3.06  5.24  0.125    0.000  10.34   9.75   9.46  
 0.200  3264.   -2.31  5.05  0.221    0.000   8.64   8.05   7.80  
 0.300  3416.   -1.95  4.95  0.305    0.000   7.80   7.20   6.95  
 0.400  3522.   -1.70  4.87  0.382    0.000   7.22   6.60   6.36  
 0.500  3686.   -1.44  4.79  0.473    0.000   6.61   5.96   5.74  
 0.600  4001.   -1.13  4.70  0.571    0.000   5.95   5.26   5.08  
 0.700  4467.   -0.81  4.64  0.662    0.000   5.29   4.65   4.52  
 0.800  4958.   -0.50  4.57  0.767    0.000   4.65   4.16   4.06  
 0.900  5420.   -0.19  4.46  0.921    0.063   4.02   3.63   3.55  
 1.000  5772.    0.15  4.28  1.196    0.306   3.29   2.98   2.90  



  t (Gyr) =  10.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
 0.070  1626.   -4.30  5.37  0.090    0.000  14.16  12.92  12.07  
 0.072  1790.   -4.12  5.37  0.092    0.000  13.27  12.29  11.67  
 0.075  2037.   -3.89  5.38  0.092    0.000  12.35  11.61  11.30  
 0.080  2345.   -3.58  5.34  0.100    0.000  11.44  10.87  10.60  
