



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 3.000000 0.002864 12.250000 4.000000 11.592000 11.343000 10.853000 10.001000 10.802000 9.204000 13.495000 11.108000 12.341000 10.920000 12.359000 11.809000 11.333000 10.378000 9.646000 10.158000 10.855000 10.705000 22.566000 14.433000 12.245000 12.148000 11.569000 12.238000 10.505000 10.039000 11.184000
1.000000 0.001000 4.000000 0.003818 12.250000 4.000000 10.986000 10.603000 10.181000 9.410000 10.425000 8.943000 12.599000 10.381000 11.551000 10.397000 11.567000 11.191000 10.506000 9.695000 9.179000 9.746000 10.479000 10.327000 21.766000 13.720000 11.619000 11.426000 10.954000 11.523000 9.843000 9.600000 10.520000
1.000000 0.001000 5.000000 0.004773 12.250000 4.000000 10.544000 10.105000 9.708000 9.001000 10.125000 8.736000 11.958000 9.892000 11.008000 10.021000 11.022000 10.747000 9.941000 9.230000 8.849000 9.436000 10.179000 10.030000 21.198000 13.214000 11.156000 10.920000 10.512000 11.015000 9.385000 9.281000 10.055000
1.000000 0.001000 6.000000 0.005727 12.250000 4.000000 10.182000 9.714000 9.328000 8.674000 9.867000 8.557000 11.440000 9.510000 10.578000 9.712000 10.590000 10.384000 9.496000 8.864000 8.582000 9.176000 9.923000 9.775000 20.734000 12.803000 10.774000 10.512000 10.151000 10.604000 9.020000 9.019000 9.681000
1.000000 0.001000 7.000000 0.006682 12.250000 4.000000 9.867000 9.382000 9.001000 8.393000 9.635000 8.395000 10.991000 9.185000 10.209000 9.441000 10.220000 10.069000 9.118000 8.551000 8.352000 8.947000 9.692000 9.546000 20.327000 12.445000 10.439000 10.159000 9.835000 10.250000 8.706000 8.791000 9.359000
1.000000 0.001000 8.000000 0.007637 12.250000 4.000000 9.623000 9.132000 8.753000 8.177000 9.447000 8.262000 10.649000 8.941000 9.930000 9.232000 9.939000 9.824000 8.833000 8.314000 8.172000 8.763000 9.505000 9.361000 20.009000 12.166000 10.180000 9.888000 9.592000 9.977000 8.466000 8.610000 9.111000
1.000000 0.001000 9.000000 0.008591 12.250000 4.000000 9.439000 8.949000 8.571000 8.016000 9.298000 8.155000 10.396000 8.762000 9.723000 9.073000 9.731000 9.639000 8.624000 8.139000 8.034000 8.620000 9.356000 9.214000 19.767000 11.956000 9.985000 9.685000 9.410000 9.772000 8.288000 8.471000 8.926000
1.000000 0.001000 10.000000 0.009546 12.250000 4.000000 9.294000 8.808000 8.432000 7.890000 9.175000 8.068000 10.197000 8.624000 9.562000 8.948000 9.569000 9.493000 8.462000 8.003000 7.925000 8.503000 9.234000 9.094000 19.574000 11.789000 9.831000 9.526000 9.267000 9.611000 8.149000 8.360000 8.781000
1.000000 0.001000 11.000000 0.010500 12.250000 4.000000 9.177000 8.697000 8.323000 7.790000 9.073000 7.996000 10.038000 8.517000 9.433000 8.848000 9.439000 9.375000 8.333000 7.895000 7.838000 8.408000 9.132000 8.994000 19.417000 11.654000 9.708000 9.399000 9.152000 9.482000 8.038000 8.269000 8.665000
1.000000 0.001000 12.000000 0.011455 12.250000 4.000000 9.081000 8.608000 8.236000 7.710000 8.987000 7.936000 9.908000 8.430000 9.330000 8.766000 9.334000 9.277000 8.230000 7.809000 7.766000 8.328000 9.046000 8.910000 19.286000 11.542000 9.606000 9.296000 9.059000 9.377000 7.949000 8.194000 8.571000
1.000000 0.001000 13.000000 0.012410 12.250000 4.000000 9.004000 8.539000 8.168000 7.646000 8.914000 7.887000 9.803000 8.363000 9.247000 8.700000 9.250000 9.198000 8.147000 7.741000 7.709000 8.263000 8.975000 8.840000 19.178000 11.451000 9.525000 9.212000 8.984000 9.291000 7.879000 8.134000 8.496000
1.000000 0.001000 14.000000 0.013364 12.250000 4.000000 8.937000 8.481000 8.112000 7.593000 8.851000 7.845000 9.712000 8.307000 9.175000 8.644000 9.178000 9.130000 8.077000 7.684000 7.660000 8.206000 8.911000 8.778000 19.082000 11.371000 9.454000 9.141000 8.920000 9.217000 7.819000 8.082000 8.431000
