



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 2.000000 0.001909 11.250000 2.000000 13.782000 12.542000 11.455000 10.480000 10.684000 9.211000 13.951000 12.573000 12.606000 11.384000 12.187000 11.559000 11.393000 10.877000 10.051000 10.275000 10.749000 10.607000 23.542000 16.315000 14.358000 13.112000 11.931000 12.009000 10.855000 10.287000 11.348000
1.000000 0.001000 3.000000 0.002864 11.250000 2.000000 12.818000 11.501000 10.562000 9.828000 10.194000 8.867000 12.625000 11.555000 11.533000 10.717000 11.066000 10.693000 10.268000 9.991000 9.643000 9.787000 10.257000 10.123000 22.260000 15.139000 13.322000 12.054000 11.100000 10.997000 10.036000 9.846000 10.468000
1.000000 0.001000 4.000000 0.003818 11.250000 2.000000 12.113000 10.831000 9.958000 9.361000 9.826000 8.620000 11.764000 10.886000 10.847000 10.265000 10.358000 10.118000 9.564000 9.419000 9.342000 9.446000 9.888000 9.761000 21.378000 14.318000 12.574000 11.348000 10.538000 10.330000 9.469000 9.519000 9.864000
1.000000 0.001000 5.000000 0.004773 11.250000 2.000000 11.610000 10.394000 9.565000 9.043000 9.555000 8.448000 11.205000 10.441000 10.404000 9.962000 9.907000 9.739000 9.123000 9.050000 9.126000 9.208000 9.617000 9.497000 20.771000 13.748000 12.048000 10.877000 10.163000 9.892000 9.094000 9.284000 9.463000
1.000000 0.001000 6.000000 0.005727 11.250000 2.000000 11.238000 10.090000 9.297000 8.819000 9.350000 8.321000 10.820000 10.128000 10.098000 9.747000 9.599000 9.473000 8.826000 8.799000 8.964000 9.032000 9.412000 9.298000 20.332000 13.332000 11.662000 10.545000 9.900000 9.587000 8.834000 9.107000 9.182000
1.000000 0.001000 7.000000 0.006682 11.250000 2.000000 10.947000 9.864000 9.103000 8.652000 9.189000 8.223000 10.536000 9.893000 9.873000 9.585000 9.375000 9.275000 8.612000 8.615000 8.838000 8.897000 9.250000 9.141000 19.995000 13.010000 11.364000 10.297000 9.703000 9.361000 8.642000 8.969000 8.974000
1.000000 0.001000 8.000000 0.007637 11.250000 2.000000 10.713000 9.691000 8.958000 8.524000 9.058000 8.147000 10.319000 9.711000 9.701000 9.459000 9.205000 9.122000 8.451000 8.477000 8.737000 8.790000 9.119000 9.014000 19.726000 12.752000 11.125000 10.105000 9.552000 9.187000 8.497000 8.858000 8.815000
1.000000 0.001000 9.000000 0.008591 11.250000 2.000000 10.517000 9.552000 8.845000 8.421000 8.948000 8.085000 10.146000 9.564000 9.564000 9.357000 9.071000 8.999000 8.325000 8.368000 8.653000 8.701000 9.009000 8.908000 19.505000 12.538000 10.926000 9.950000 9.430000 9.049000 8.382000 8.765000 8.687000
1.000000 0.001000 10.000000 0.009546 11.250000 2.000000 10.360000 9.448000 8.765000 8.347000 8.861000 8.038000 10.018000 9.452000 9.464000 9.281000 8.973000 8.906000 8.235000 8.290000 8.589000 8.633000 8.922000 8.824000 19.329000 12.368000 10.769000 9.834000 9.340000 8.945000 8.299000 8.693000 8.593000
1.000000 0.001000 11.000000 0.010500 11.250000 2.000000 10.234000 9.373000 8.711000 8.293000 8.792000 8.005000 9.924000 9.368000 9.391000 9.224000 8.904000 8.839000 8.172000 8.236000 8.539000 8.581000 8.852000 8.758000 19.191000 12.232000 10.644000 9.748000 9.274000 8.870000 8.240000 8.636000 8.525000
