



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 9.500000 2.000000 16.390000 16.314000 14.474000 12.524000 12.073000 10.521000 18.345000 16.103000 16.570000 14.095000 16.228000 14.724000 15.429000 13.875000 11.657000 11.932000 12.148000 12.006000 27.354000 19.835000 17.084000 16.821000 14.973000 15.495000 13.268000 11.833000 13.982000
1.000000 0.001000 2.000000 0.001909 9.500000 2.000000 15.120000 14.259000 13.094000 11.636000 11.424000 10.001000 16.032000 14.169000 14.449000 12.834000 14.054000 13.135000 13.289000 12.352000 10.954000 11.126000 11.486000 11.371000 25.236000 17.940000 15.782000 14.844000 13.525000 13.699000 12.213000 11.135000 12.791000
1.000000 0.001000 3.000000 0.002864 9.500000 2.000000 14.532000 13.504000 12.531000 11.271000 11.135000 9.794000 15.119000 13.445000 13.671000 12.367000 13.253000 12.540000 12.494000 11.761000 10.703000 10.807000 11.193000 11.085000 24.390000 17.162000 15.159000 14.109000 12.963000 13.008000 11.750000 10.863000 12.269000
1.000000 0.001000 4.000000 0.003818 9.500000 2.000000 14.153000 13.074000 12.188000 11.043000 10.951000 9.669000 14.583000 13.029000 13.228000 12.089000 12.799000 12.192000 12.044000 11.421000 10.552000 10.618000 11.009000 10.904000 23.877000 16.682000 14.755000 13.682000 12.628000 12.604000 11.459000 10.697000 11.944000
1.000000 0.001000 5.000000 0.004773 9.500000 2.000000 13.875000 12.780000 11.943000 10.877000 10.821000 9.584000 14.209000 12.743000 12.924000 11.893000 12.488000 11.950000 11.738000 11.188000 10.445000 10.488000 10.878000 10.776000 23.509000 16.335000 14.458000 13.383000 12.390000 12.323000 11.249000 10.579000 11.712000
1.000000 0.001000 6.000000 0.005727 9.500000 2.000000 13.660000 12.563000 11.756000 10.751000 10.723000 9.523000 13.926000 12.531000 12.699000 11.744000 12.258000 11.768000 11.512000 11.015000 10.364000 10.392000 10.781000 10.679000 23.226000 16.068000 14.228000 13.159000 12.209000 12.113000 11.088000 10.491000 11.534000
1.000000 0.001000 7.000000 0.006682 9.500000 2.000000 13.487000 12.396000 11.607000 10.650000 10.650000 9.478000 13.703000 12.367000 12.523000 11.626000 12.079000 11.626000 11.336000 10.882000 10.301000 10.321000 10.707000 10.606000 22.998000 15.855000 14.044000 12.983000 12.066000 11.948000 10.961000 10.423000 11.394000
1.000000 0.001000 8.000000 0.007637 9.500000 2.000000 13.342000 12.259000 11.483000 10.567000 10.591000 9.444000 13.517000 12.233000 12.378000 11.529000 11.932000 11.508000 11.191000 10.772000 10.250000 10.264000 10.649000 10.548000 22.805000 15.675000 13.889000 12.837000 11.947000 11.812000 10.854000 10.369000 11.276000
1.000000 0.001000 9.000000 0.008591 9.500000 2.000000 13.194000 12.122000 11.354000 10.479000 10.533000 9.408000 13.327000 12.099000 12.231000 11.428000 11.781000 11.386000 11.041000 10.660000 10.197000 10.207000 10.591000 10.489000 22.606000 15.492000 13.730000 12.689000 11.824000 11.671000 10.742000 10.314000 11.154000
1.000000 0.001000 10.000000 0.009546 9.500000 2.000000 13.064000 12.006000 11.242000 10.404000 10.484000 9.379000 13.163000 11.985000 12.106000 11.341000 11.651000 11.281000 10.912000 10.564000 10.152000 10.161000 10.542000 10.440000 22.430000 15.331000 13.592000 12.561000 11.717000 11.550000 10.644000 10.268000 11.048000
