



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 4.000000 0.003818 13.000000 1.000000 11.790000 10.755000 9.913000 9.417000 9.608000 8.543000 11.727000 10.773000 10.786000 10.072000 10.351000 10.078000 9.743000 9.510000 9.291000 9.323000 9.669000 9.567000 21.132000 14.041000 12.262000 11.254000 10.410000 10.283000 9.579000 9.407000 9.892000
1.000000 0.001000 5.000000 0.004773 13.000000 1.000000 11.198000 10.206000 9.429000 8.976000 9.288000 8.299000 11.063000 10.227000 10.244000 9.682000 9.807000 9.590000 9.198000 9.028000 8.951000 9.015000 9.348000 9.250000 20.445000 13.347000 11.643000 10.672000 9.945000 9.745000 9.091000 9.080000 9.381000
1.000000 0.001000 6.000000 0.005727 13.000000 1.000000 10.683000 9.738000 9.012000 8.596000 9.002000 8.079000 10.503000 9.760000 9.785000 9.341000 9.349000 9.174000 8.740000 8.619000 8.652000 8.744000 9.061000 8.967000 19.852000 12.752000 11.106000 10.175000 9.542000 9.288000 8.674000 8.790000 8.945000
1.000000 0.001000 7.000000 0.006682 13.000000 1.000000 10.248000 9.346000 8.658000 8.273000 8.751000 7.883000 10.040000 9.367000 9.400000 9.048000 8.968000 8.823000 8.358000 8.274000 8.392000 8.506000 8.810000 8.719000 19.355000 12.255000 10.655000 9.758000 9.200000 8.905000 8.323000 8.537000 8.579000
1.000000 0.001000 8.000000 0.007637 13.000000 1.000000 9.924000 9.056000 8.395000 8.027000 8.552000 7.723000 9.701000 9.075000 9.116000 8.826000 8.686000 8.561000 8.077000 8.016000 8.188000 8.318000 8.611000 8.523000 18.988000 11.887000 10.319000 9.450000 8.943000 8.622000 8.060000 8.337000 8.305000
1.000000 0.001000 9.000000 0.008591 13.000000 1.000000 9.674000 8.834000 8.195000 7.838000 8.392000 7.593000 9.447000 8.851000 8.900000 8.653000 8.473000 8.360000 7.863000 7.818000 8.026000 8.166000 8.450000 8.364000 18.707000 11.607000 10.063000 9.216000 8.746000 8.406000 7.858000 8.178000 8.096000
1.000000 0.001000 10.000000 0.009546 13.000000 1.000000 9.477000 8.662000 8.039000 7.688000 8.260000 7.484000 9.251000 8.676000 8.731000 8.516000 8.307000 8.203000 7.696000 7.663000 7.894000 8.041000 8.318000 8.234000 18.486000 11.388000 9.861000 9.035000 8.591000 8.238000 7.700000 8.047000 7.933000
1.000000 0.001000 11.000000 0.010500 13.000000 1.000000 9.318000 8.524000 7.917000 7.567000 8.151000 7.395000 9.096000 8.536000 8.597000 8.406000 8.175000 8.076000 7.564000 7.538000 7.786000 7.938000 8.208000 8.126000 18.307000 11.210000 9.699000 8.890000 8.468000 8.104000 7.573000 7.940000 7.802000
1.000000 0.001000 12.000000 0.011455 13.000000 1.000000 9.181000 8.407000 7.813000 7.463000 8.055000 7.316000 8.965000 8.417000 8.484000 8.311000 8.063000 7.969000 7.451000 7.432000 7.692000 7.848000 8.112000 8.031000 18.153000 11.059000 9.559000 8.766000 8.362000 7.991000 7.465000 7.846000 7.691000
1.000000 0.001000 13.000000 0.012410 13.000000 1.000000 9.067000 8.313000 7.731000 7.379000 7.974000 7.251000 8.859000 8.320000 8.392000 8.234000 7.974000 7.882000 7.361000 7.347000 7.614000 7.773000 8.031000 7.951000 18.024000 10.932000 9.444000 8.667000 8.277000 7.899000 7.377000 7.768000 7.601000
