



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 10.250000 4.000000 13.976000 15.017000 13.455000 12.738000 12.054000 10.113000 17.225000 14.714000 16.117000 13.117000 16.143000 14.512000 15.158000 13.679000 11.790000 11.810000 12.123000 11.967000 26.076000 17.648000 14.568000 15.564000 14.068000 15.343000 13.576000 11.869000 14.184000
1.000000 0.001000 2.000000 0.001909 10.250000 4.000000 12.860000 13.068000 12.321000 11.333000 11.486000 9.775000 15.350000 12.800000 14.135000 12.129000 14.132000 13.162000 13.184000 11.941000 10.702000 10.999000 11.540000 11.405000 24.268000 15.989000 13.514000 13.764000 12.934000 13.775000 11.988000 10.977000 12.648000
1.000000 0.001000 3.000000 0.002864 10.250000 4.000000 12.294000 12.231000 11.717000 10.705000 11.174000 9.585000 14.449000 11.978000 13.257000 11.649000 13.250000 12.541000 12.288000 11.185000 10.215000 10.613000 11.226000 11.093000 23.429000 15.239000 12.958000 12.991000 12.362000 13.037000 11.281000 10.549000 11.951000
1.000000 0.001000 4.000000 0.003818 10.250000 4.000000 11.897000 11.705000 11.286000 10.301000 10.946000 9.444000 13.833000 11.462000 12.695000 11.315000 12.684000 12.122000 11.702000 10.705000 9.902000 10.352000 10.997000 10.864000 22.867000 14.742000 12.557000 12.489000 11.962000 12.544000 10.825000 10.264000 11.496000
1.000000 0.001000 5.000000 0.004773 10.250000 4.000000 11.584000 11.320000 10.947000 10.004000 10.759000 9.331000 13.351000 11.085000 12.277000 11.051000 12.262000 11.798000 11.264000 10.355000 9.671000 10.148000 10.811000 10.678000 22.438000 14.361000 12.236000 12.110000 11.646000 12.165000 10.487000 10.048000 11.154000
1.000000 0.001000 6.000000 0.005727 10.250000 4.000000 11.330000 11.023000 10.675000 9.774000 10.602000 9.238000 12.958000 10.795000 11.947000 10.837000 11.930000 11.536000 10.921000 10.085000 9.493000 9.984000 10.655000 10.523000 22.091000 14.053000 11.970000 11.808000 11.388000 11.860000 10.224000 9.878000 10.884000
1.000000 0.001000 7.000000 0.006682 10.250000 4.000000 11.120000 10.788000 10.453000 9.592000 10.470000 9.162000 12.631000 10.567000 11.682000 10.660000 11.662000 11.321000 10.646000 9.872000 9.352000 9.849000 10.524000 10.392000 21.801000 13.799000 11.749000 11.562000 11.176000 11.611000 10.014000 9.742000 10.667000
1.000000 0.001000 8.000000 0.007637 10.250000 4.000000 10.949000 10.602000 10.275000 9.449000 10.361000 9.102000 12.363000 10.387000 11.468000 10.516000 11.447000 11.145000 10.426000 9.704000 9.241000 9.740000 10.416000 10.285000 21.559000 13.590000 11.567000 11.362000 11.002000 11.409000 9.847000 9.633000 10.492000
1.000000 0.001000 9.000000 0.008591 10.250000 4.000000 10.807000 10.451000 10.128000 9.332000 10.268000 9.052000 12.136000 10.240000 11.290000 10.396000 11.269000 10.998000 10.244000 9.567000 9.151000 9.649000 10.324000 10.193000 21.350000 13.413000 11.415000 11.196000 10.857000 11.240000 9.709000 9.544000 10.347000
1.000000 0.001000 10.000000 0.009546 10.250000 4.000000 10.689000 10.327000 10.007000 9.236000 10.190000 9.012000 11.945000 10.121000 11.143000 10.296000 11.121000 10.875000 10.094000 9.455000 9.079000 9.573000 10.247000 10.117000 21.170000 13.262000 11.287000 11.056000 10.735000 11.099000 9.596000 9.471000 10.227000
