



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 10.500000 1.000000 15.708000 15.417000 13.476000 12.749000 11.450000 10.079000 17.274000 15.208000 15.365000 13.133000 14.990000 14.061000 14.286000 13.455000 11.735000 11.384000 11.523000 11.396000 25.811000 19.090000 16.389000 15.987000 13.970000 14.670000 13.401000 11.555000 13.891000
1.000000 0.001000 2.000000 0.001909 10.500000 1.000000 14.040000 13.159000 11.987000 11.242000 10.728000 9.478000 14.652000 13.089000 13.198000 11.791000 12.805000 12.208000 12.203000 11.611000 10.634000 10.497000 10.790000 10.688000 23.794000 16.790000 14.646000 13.743000 12.416000 12.633000 11.667000 10.643000 12.075000
1.000000 0.001000 3.000000 0.002864 10.500000 1.000000 13.164000 12.169000 11.231000 10.526000 10.332000 9.172000 13.451000 12.142000 12.229000 11.173000 11.816000 11.367000 11.210000 10.762000 10.121000 10.063000 10.392000 10.294000 22.738000 15.658000 13.715000 12.733000 11.670000 11.695000 10.841000 10.186000 11.212000
1.000000 0.001000 4.000000 0.003818 10.500000 1.000000 12.569000 11.572000 10.742000 10.076000 10.056000 8.972000 12.708000 11.559000 11.637000 10.787000 11.212000 10.846000 10.595000 10.242000 9.799000 9.782000 10.116000 10.020000 22.018000 14.914000 13.085000 12.109000 11.196000 11.113000 10.322000 9.887000 10.670000
1.000000 0.001000 5.000000 0.004773 10.500000 1.000000 12.112000 11.149000 10.387000 9.754000 9.841000 8.825000 12.177000 11.141000 11.218000 10.506000 10.788000 10.476000 10.165000 9.878000 9.564000 9.575000 9.900000 9.807000 21.465000 14.357000 12.604000 11.659000 10.851000 10.699000 9.954000 9.664000 10.283000
1.000000 0.001000 6.000000 0.005727 10.500000 1.000000 11.758000 10.841000 10.127000 9.519000 9.673000 8.715000 11.787000 10.833000 10.912000 10.298000 10.482000 10.206000 9.857000 9.616000 9.389000 9.419000 9.732000 9.641000 21.035000 13.931000 12.234000 11.328000 10.595000 10.397000 9.686000 9.495000 10.000000
1.000000 0.001000 7.000000 0.006682 10.500000 1.000000 11.482000 10.611000 9.936000 9.344000 9.543000 8.635000 11.496000 10.602000 10.685000 10.143000 10.257000 10.006000 9.631000 9.424000 9.257000 9.301000 9.601000 9.513000 20.696000 13.600000 11.946000 11.079000 10.404000 10.174000 9.488000 9.366000 9.791000
1.000000 0.001000 8.000000 0.007637 10.500000 1.000000 11.262000 10.437000 9.792000 9.212000 9.440000 8.574000 11.272000 10.424000 10.512000 10.025000 10.087000 9.855000 9.462000 9.280000 9.156000 9.210000 9.498000 9.412000 20.423000 13.336000 11.717000 10.886000 10.258000 10.004000 9.338000 9.266000 9.632000
1.000000 0.001000 9.000000 0.008591 10.500000 1.000000 11.084000 10.301000 9.682000 9.110000 9.357000 8.528000 11.097000 10.284000 10.378000 9.933000 9.957000 9.738000 9.331000 9.170000 9.077000 9.138000 9.415000 9.331000 20.200000 13.122000 11.532000 10.735000 10.143000 9.873000 9.223000 9.187000 9.508000
1.000000 0.001000 10.000000 0.009546 10.500000 1.000000 10.935000 10.192000 9.596000 9.030000 9.291000 8.494000 10.955000 10.172000 10.272000 9.860000 9.854000 9.645000 9.228000 9.084000 9.014000 9.082000 9.348000 9.266000 20.011000 12.944000 11.379000 10.614000 10.053000 9.769000 9.132000 9.125000 9.411000
