



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 8.500000 1.000000 19.873000 20.512000 19.570000 16.216000 13.479000 12.615000 23.005000 20.078000 21.530000 19.187000 20.835000 19.189000 19.648000 17.621000 14.594000 13.831000 13.548000 13.488000 30.366000 23.572000 20.556000 21.033000 20.067000 19.978000 17.350000 13.938000 18.041000
1.000000 0.001000 2.000000 0.001909 8.500000 1.000000 18.178000 18.139000 17.545000 14.738000 12.746000 11.864000 20.533000 17.777000 19.001000 17.166000 18.518000 17.122000 17.631000 15.833000 13.416000 12.890000 12.799000 12.786000 28.665000 21.486000 18.901000 18.706000 17.953000 17.828000 15.711000 13.041000 16.369000
1.000000 0.001000 3.000000 0.002864 8.500000 1.000000 17.427000 17.129000 16.699000 14.110000 12.429000 11.551000 19.460000 16.810000 17.947000 16.333000 17.552000 16.281000 16.775000 15.079000 12.915000 12.495000 12.475000 12.480000 27.960000 20.575000 18.157000 17.720000 17.072000 16.942000 15.015000 12.647000 15.652000
1.000000 0.001000 4.000000 0.003818 8.500000 1.000000 16.936000 16.489000 16.146000 13.716000 12.230000 11.354000 18.768000 16.201000 17.278000 15.793000 16.936000 15.753000 16.224000 14.604000 12.603000 12.249000 12.272000 12.288000 27.512000 19.992000 17.664000 17.096000 16.502000 16.382000 14.576000 12.398000 15.196000
1.000000 0.001000 5.000000 0.004773 8.500000 1.000000 16.566000 16.018000 15.723000 13.428000 12.087000 11.212000 18.251000 15.756000 16.784000 15.384000 16.475000 15.365000 15.813000 14.257000 12.377000 12.074000 12.127000 12.149000 27.180000 19.560000 17.288000 16.637000 16.071000 15.969000 14.253000 12.217000 14.858000
1.000000 0.001000 6.000000 0.005727 8.500000 1.000000 16.274000 15.650000 15.382000 13.206000 11.981000 11.103000 17.843000 15.411000 16.396000 15.057000 16.113000 15.064000 15.490000 13.988000 12.205000 11.942000 12.019000 12.045000 26.921000 19.224000 16.989000 16.278000 15.728000 15.646000 14.003000 12.080000 14.595000
1.000000 0.001000 7.000000 0.006682 8.500000 1.000000 16.006000 15.315000 15.052000 13.002000 11.886000 11.001000 17.463000 15.098000 16.035000 14.743000 15.770000 14.782000 15.183000 13.741000 12.049000 11.822000 11.923000 11.949000 26.668000 18.915000 16.710000 15.951000 15.400000 15.343000 13.772000 11.955000 14.350000
1.000000 0.001000 8.000000 0.007637 8.500000 1.000000 15.778000 15.031000 14.763000 12.830000 11.807000 10.915000 17.135000 14.833000 15.726000 14.470000 15.474000 14.542000 14.919000 13.530000 11.918000 11.723000 11.844000 11.871000 26.446000 18.651000 16.471000 15.673000 15.116000 15.083000 13.575000 11.850000 14.139000
1.000000 0.001000 9.000000 0.008591 8.500000 1.000000 15.579000 14.782000 14.503000 12.679000 11.741000 10.839000 16.845000 14.603000 15.453000 14.227000 15.212000 14.330000 14.685000 13.345000 11.804000 11.637000 11.777000 11.803000 26.245000 18.421000 16.261000 15.429000 14.862000 14.853000 13.402000 11.760000 13.953000
1.000000 0.001000 10.000000 0.009546 8.500000 1.000000 15.411000 14.568000 14.275000 12.549000 11.686000 10.774000 16.592000 14.407000 15.217000 14.015000 14.983000 14.148000 14.482000 13.186000 11.708000 11.565000 11.722000 11.747000 26.068000 18.222000 16.081000 15.220000 14.641000 14.654000 13.253000 11.684000 13.791000
