



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 4.000000 0.003818 12.500000 2.000000 11.870000 10.560000 9.678000 9.143000 9.680000 8.480000 11.435000 10.625000 10.568000 10.044000 10.075000 9.875000 9.281000 9.174000 9.184000 9.295000 9.742000 9.614000 21.098000 14.050000 12.312000 11.064000 10.286000 10.063000 9.221000 9.366000 9.610000
1.000000 0.001000 5.000000 0.004773 12.500000 2.000000 11.301000 10.049000 9.206000 8.757000 9.360000 8.256000 10.793000 10.108000 10.050000 9.679000 9.549000 9.429000 8.765000 8.735000 8.915000 9.006000 9.422000 9.300000 20.422000 13.413000 11.716000 10.516000 9.841000 9.553000 8.773000 9.079000 9.136000
1.000000 0.001000 6.000000 0.005727 12.500000 2.000000 10.822000 9.628000 8.816000 8.431000 9.084000 8.061000 10.271000 9.682000 9.628000 9.371000 9.123000 9.060000 8.348000 8.375000 8.680000 8.758000 9.146000 9.030000 19.865000 12.884000 11.218000 10.062000 9.470000 9.134000 8.402000 8.830000 8.743000
1.000000 0.001000 7.000000 0.006682 12.500000 2.000000 10.409000 9.269000 8.482000 8.147000 8.841000 7.885000 9.830000 9.316000 9.267000 9.103000 8.762000 8.742000 7.995000 8.065000 8.470000 8.540000 8.902000 8.792000 19.391000 12.433000 10.790000 9.672000 9.149000 8.775000 8.081000 8.609000 8.405000
1.000000 0.001000 8.000000 0.007637 12.500000 2.000000 10.098000 9.003000 8.236000 7.931000 8.649000 7.743000 9.509000 9.043000 9.002000 8.899000 8.496000 8.504000 7.735000 7.835000 8.303000 8.368000 8.710000 8.604000 19.038000 12.095000 10.469000 9.384000 8.910000 8.509000 7.842000 8.434000 8.153000
1.000000 0.001000 9.000000 0.008591 12.500000 2.000000 9.862000 8.807000 8.058000 7.770000 8.497000 7.631000 9.276000 8.841000 8.807000 8.745000 8.302000 8.326000 7.546000 7.665000 8.173000 8.233000 8.558000 8.455000 18.774000 11.841000 10.228000 9.171000 8.732000 8.313000 7.666000 8.296000 7.966000
1.000000 0.001000 10.000000 0.009546 12.500000 2.000000 9.675000 8.656000 7.924000 7.646000 8.373000 7.540000 9.099000 8.685000 8.658000 8.625000 8.154000 8.188000 7.402000 7.535000 8.067000 8.124000 8.434000 8.334000 18.567000 11.640000 10.039000 9.008000 8.594000 8.162000 7.530000 8.184000 7.823000
1.000000 0.001000 11.000000 0.010500 12.500000 2.000000 9.527000 8.542000 7.825000 7.550000 8.272000 7.466000 8.966000 8.565000 8.545000 8.531000 8.043000 8.082000 7.295000 7.436000 7.981000 8.036000 8.333000 8.235000 18.405000 11.482000 9.890000 8.884000 8.489000 8.046000 7.428000 8.093000 7.713000
1.000000 0.001000 12.000000 0.011455 12.500000 2.000000 9.401000 8.448000 7.746000 7.472000 8.185000 7.404000 8.859000 8.466000 8.453000 8.454000 7.952000 7.994000 7.208000 7.357000 7.909000 7.961000 8.246000 8.150000 18.268000 11.348000 9.764000 8.783000 8.403000 7.952000 7.345000 8.016000 7.624000
1.000000 0.001000 13.000000 0.012410 12.500000 2.000000 9.299000 8.377000 7.690000 7.413000 8.114000 7.355000 8.778000 8.390000 8.384000 8.394000 7.885000 7.927000 7.144000 7.298000 7.852000 7.901000 8.175000 8.081000 18.158000 11.239000 9.663000 8.705000 8.337000 7.880000 7.283000 7.954000 7.556000
