



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 10.750000 3.000000 12.596000 14.139000 12.712000 12.436000 11.510000 10.223000 16.203000 13.776000 15.098000 12.349000 15.223000 14.182000 15.050000 13.394000 11.457000 11.376000 11.561000 11.510000 24.474000 16.499000 13.202000 14.704000 13.284000 14.865000 13.286000 11.458000 13.841000
1.000000 0.001000 2.000000 0.001909 10.750000 3.000000 12.113000 12.533000 11.918000 11.116000 11.093000 9.706000 14.648000 12.259000 13.501000 11.679000 13.555000 12.836000 13.020000 11.740000 10.461000 10.696000 11.142000 11.058000 23.599000 15.389000 12.767000 13.214000 12.460000 13.348000 11.779000 10.693000 12.377000
1.000000 0.001000 3.000000 0.002864 10.750000 3.000000 11.647000 11.685000 11.295000 10.398000 10.782000 9.407000 13.705000 11.444000 12.622000 11.205000 12.641000 12.103000 11.936000 10.864000 9.915000 10.284000 10.833000 10.730000 22.862000 14.670000 12.305000 12.412000 11.877000 12.510000 10.961000 10.229000 11.575000
1.000000 0.001000 4.000000 0.003818 10.750000 3.000000 11.271000 11.129000 10.812000 9.919000 10.533000 9.197000 13.031000 10.906000 12.030000 10.848000 12.026000 11.600000 11.217000 10.291000 9.552000 9.985000 10.586000 10.471000 22.285000 14.144000 11.916000 11.869000 11.439000 11.939000 10.415000 9.902000 11.033000
1.000000 0.001000 5.000000 0.004773 10.750000 3.000000 10.976000 10.740000 10.448000 9.584000 10.330000 9.043000 12.528000 10.530000 11.606000 10.577000 11.588000 11.235000 10.714000 9.894000 9.296000 9.758000 10.384000 10.264000 21.835000 13.744000 11.605000 11.476000 11.106000 11.525000 10.031000 9.664000 10.647000
1.000000 0.001000 6.000000 0.005727 10.750000 3.000000 10.747000 10.462000 10.178000 9.343000 10.167000 8.927000 12.149000 10.260000 11.295000 10.372000 11.268000 10.963000 10.351000 9.611000 9.111000 9.585000 10.222000 10.099000 21.478000 13.435000 11.361000 11.185000 10.855000 11.219000 9.753000 9.487000 10.366000
1.000000 0.001000 7.000000 0.006682 10.750000 3.000000 10.566000 10.251000 9.971000 9.161000 10.033000 8.837000 11.850000 10.057000 11.054000 10.210000 11.022000 10.751000 10.077000 9.398000 8.971000 9.448000 10.090000 9.965000 21.183000 13.187000 11.164000 10.958000 10.657000 10.981000 9.542000 9.350000 10.150000
1.000000 0.001000 8.000000 0.007637 10.750000 3.000000 10.421000 10.090000 9.811000 9.023000 9.923000 8.767000 11.613000 9.903000 10.865000 10.083000 10.830000 10.584000 9.868000 9.237000 8.864000 9.339000 9.981000 9.857000 20.937000 12.985000 11.007000 10.780000 10.500000 10.795000 9.380000 9.244000 9.982000
1.000000 0.001000 9.000000 0.008591 10.750000 3.000000 10.303000 9.964000 9.685000 8.914000 9.832000 8.712000 11.419000 9.781000 10.714000 9.980000 10.676000 10.449000 9.703000 9.111000 8.781000 9.250000 9.891000 9.767000 20.727000 12.817000 10.878000 10.636000 10.373000 10.644000 9.253000 9.159000 9.849000
1.000000 0.001000 10.000000 0.009546 10.750000 3.000000 10.206000 9.862000 9.585000 8.829000 9.756000 8.668000 11.258000 9.684000 10.589000 9.895000 10.550000 10.338000 9.570000 9.011000 8.715000 9.177000 9.815000 9.692000 20.544000 12.675000 10.770000 10.518000 10.269000 10.520000 9.151000 9.091000 9.741000
1.000000 0.001000 11.000000 0.010500 10.750000 3.000000 10.124000 9.779000 9.504000 8.760000 9.692000 8.633000 11.122000 9.606000 10.485000 9.825000 10.445000 10.245000 9.462000 8.930000 8.662000 9.116000 9.751000 9.629000 20.384000 12.552000 10.679000 10.419000 10.181000 10.417000 9.069000 9.035000 9.652000
1.000000 0.001000 12.000000 0.011455 10.750000 3.000000 10.056000 9.712000 9.438000 8.705000 9.637000 8.605000 11.008000 9.542000 10.398000 9.766000 10.358000 10.169000 9.375000 8.866000 8.619000 9.066000 9.697000 9.575000 20.244000 12.447000 10.603000 10.336000 10.108000 10.331000 9.002000 8.990000 9.580000
1.000000 0.001000 13.000000 0.012410 10.750000 3.000000 10.009000 9.668000 9.397000 8.669000 9.597000 8.586000 10.928000 9.501000 10.338000 9.727000 10.298000 10.115000 9.318000 8.825000 8.591000 9.030000 9.657000 9.536000 20.139000 12.370000 10.549000 10.279000 10.058000 10.272000 8.959000 8.958000 9.532000
