
  t (Gyr) =   0.0005
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 1.000  5572.   -0.14  4.51  0.917    0.307   5.18   4.77   4.42   3.92   3.59   3.54   3.52   3.52   3.56
 1.100  5898.    0.06  4.45  1.035    0.574   4.61   4.25   3.94   3.52   3.24   3.20   3.19   3.19   3.21
 1.200  6179.    0.25  4.38  1.173    0.770   4.11   3.79   3.51   3.15   2.91   2.87   2.87   2.86   2.88
 1.300  6456.    0.42  4.32  1.310    0.880   3.66   3.38   3.12   2.81   2.61   2.58   2.57   2.57   2.58
 1.400  6761.    0.58  4.27  1.429    0.938   3.26   3.01   2.79   2.53   2.36   2.34   2.34   2.33   2.33



  t (Gyr) =   0.4000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.050  1836.   -3.96  5.10  0.105    0.957  21.95  18.78  16.56  12.80  11.85  11.23  10.46  10.12  10.81
 0.060  2207.   -3.62  5.16  0.107    0.011  21.00  17.82  15.26  11.69  11.07  10.71  10.15   9.82  10.39
 0.070  2419.   -3.43  5.20  0.111    0.000  19.50  16.63  14.08  11.12  10.59  10.27   9.85   9.55  10.06
 0.072  2457.   -3.40  5.20  0.112    0.000  19.19  16.42  13.90  11.04  10.51  10.19   9.78   9.49   9.97
 0.075  2508.   -3.35  5.21  0.113    0.000  18.80  16.16  13.66  10.94  10.40  10.09   9.70   9.42   9.85
 0.080  2594.   -3.27  5.21  0.116    0.000  18.30  15.72  13.28  10.75  10.22   9.91   9.55   9.29   9.63
 0.090  2726.   -3.13  5.21  0.123    0.000  17.09  14.91  12.63  10.44   9.93   9.61   9.29   9.06   9.31
 0.100  2844.   -3.00  5.20  0.131    0.000  16.17  14.26  12.12  10.16   9.63   9.33   9.03   8.82   9.01
 0.200  3260.   -2.32  5.06  0.219    0.000  12.72  11.60  10.02   8.62   8.08   7.82   7.60   7.45   7.53
 0.300  3415.   -1.99  4.98  0.292    0.000  11.54  10.54   9.13   7.85   7.30   7.05   6.86   6.72   6.79
 0.400  3526.   -1.73  4.91  0.369    0.000  10.69   9.75   8.45   7.24   6.68   6.44   6.27   6.15   6.22
 0.500  3685.   -1.46  4.81  0.460    0.000   9.73   8.87   7.73   6.62   6.02   5.81   5.66   5.57   5.65
 0.600  3969.   -1.17  4.73  0.555    0.000   8.64   7.87   6.98   5.99   5.36   5.19   5.08   5.04   5.14
 0.700  4387.   -0.87  4.67  0.638    0.000   7.56   6.83   6.23   5.37   4.76   4.66   4.60   4.59   4.70
 0.800  4821.   -0.61  4.63  0.720    0.004   6.59   6.00   5.53   4.83   4.33   4.26   4.22   4.21   4.29
 0.900  5210.   -0.36  4.57  0.814    0.081   5.82   5.34   4.93   4.35   3.95   3.89   3.86   3.85   3.91
 1.000  5574.   -0.14  4.51  0.919    0.307   5.17   4.76   4.41   3.92   3.58   3.54   3.52   3.51   3.56
 1.100  5901.    0.06  4.44  1.040    0.574   4.60   4.24   3.93   3.51   3.23   3.19   3.18   3.17   3.20
 1.200  6181.    0.25  4.37  1.180    0.770   4.10   3.78   3.49   3.13   2.90   2.86   2.85   2.85   2.86
 1.300  6453.    0.43  4.31  1.318    0.880   3.65   3.36   3.11   2.80   2.60   2.57   2.56   2.56   2.56
 1.400  6750.    0.58  4.27  1.442    0.938   3.25   2.99   2.78   2.51   2.35   2.32   2.32   2.32   2.31



  t (Gyr) =   0.5000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.050  1698.   -4.12  5.12  0.102    0.947  22.44  19.13  16.98  13.61  12.44  11.53  10.61  10.26  10.95
 0.060  2082.   -3.76  5.19  0.103    0.001  21.43  18.20  15.73  11.96  11.33  11.00  10.36  10.01  10.71
 0.070  2335.   -3.53  5.23  0.106    0.000  20.11  17.06  14.50  11.32  10.81  10.51  10.03   9.72  10.30
 0.072  2378.   -3.49  5.24  0.107    0.000  19.86  16.88  14.32  11.25  10.72  10.42   9.97   9.66  10.22
 0.075  2435.   -3.44  5.25  0.108    0.000  19.44  16.60  14.06  11.15  10.61  10.30   9.88   9.58  10.10
 0.080  2539.   -3.34  5.25  0.112    0.000  18.66  16.05  13.57  10.92  10.39  10.07   9.69   9.42   9.83
 0.090  2696.   -3.18  5.24  0.119    0.000  17.42  15.11  12.80  10.54  10.03   9.72   9.39   9.15   9.42
 0.100  2828.   -3.03  5.22  0.128    0.000  16.31  14.38  12.22  10.23   9.70   9.40   9.09   8.88   9.08
 0.200  3260.   -2.32  5.06  0.219    0.000  12.72  11.60  10.02   8.62   8.08   7.82   7.60   7.45   7.53
 0.300  3415.   -1.99  4.98  0.292    0.000  11.54  10.54   9.13   7.85   7.30   7.05   6.86   6.72   6.79
 0.400  3524.   -1.73  4.90  0.370    0.000  10.69   9.74   8.44   7.24   6.67   6.44   6.26   6.14   6.21
 0.500  3682.   -1.46  4.81  0.461    0.000   9.74   8.87   7.73   6.61   6.02   5.81   5.66   5.57   5.65
 0.600  3968.   -1.17  4.73  0.556    0.000   8.64   7.87   6.98   5.98   5.35   5.19   5.08   5.03   5.13
 0.700  4386.   -0.87  4.67  0.639    0.000   7.56   6.82   6.22   5.36   4.76   4.66   4.60   4.58   4.69
 0.800  4821.   -0.60  4.62  0.721    0.003   6.59   6.00   5.53   4.82   4.33   4.26   4.21   4.21   4.29
 0.900  5211.   -0.36  4.57  0.816    0.080   5.81   5.33   4.93   4.34   3.94   3.88   3.85   3.85   3.91
 1.000  5576.   -0.14  4.51  0.921    0.307   5.17   4.75   4.40   3.91   3.58   3.53   3.51   3.51   3.55
 1.100  5904.    0.07  4.44  1.044    0.574   4.59   4.23   3.92   3.50   3.22   3.18   3.17   3.17   3.20
 1.200  6182.    0.26  4.37  1.185    0.770   4.09   3.77   3.48   3.12   2.89   2.85   2.84   2.84   2.85
 1.300  6451.    0.43  4.31  1.326    0.880   3.64   3.35   3.10   2.79   2.59   2.56   2.55   2.55   2.55
 1.400  6742.    0.59  4.26  1.455    0.938   3.23   2.98   2.76   2.49   2.33   2.30   2.30   2.30   2.30



  t (Gyr) =   0.6250
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.050  1555.   -4.29  5.14  0.100    0.938  23.37  19.69  17.44  14.14  12.92  12.00  11.01  10.63  11.27
 0.060  1908.   -3.94  5.22  0.099    0.000  21.97  18.71  16.40  12.56  11.79  11.32  10.58  10.22  10.95
 0.070  2248.   -3.63  5.27  0.101    0.000  20.85  17.64  15.08  11.66  11.10  10.78  10.23   9.90  10.53
 0.072  2301.   -3.58  5.27  0.103    0.000  20.39  17.25  14.68  11.42  10.93  10.63  10.13   9.81  10.44
 0.075  2370.   -3.52  5.28  0.104    0.000  19.97  16.95  14.39  11.31  10.78  10.48  10.02   9.72  10.30
 0.080  2485.   -3.41  5.28  0.108    0.000  19.04  16.37  13.86  11.08  10.54  10.23   9.83   9.54  10.02
 0.090  2671.   -3.21  5.26  0.116    0.000  17.69  15.30  12.95  10.63  10.11   9.80   9.46   9.22   9.51
 0.100  2817.   -3.05  5.23  0.127    0.000  16.40  14.45  12.28  10.28   9.74   9.44   9.13   8.92   9.12
 0.200  3260.   -2.32  5.06  0.218    0.000  12.72  11.60  10.02   8.62   8.08   7.82   7.60   7.45   7.53
 0.300  3415.   -1.99  4.98  0.292    0.000  11.54  10.54   9.13   7.85   7.30   7.05   6.85   6.72   6.79
 0.400  3522.   -1.72  4.90  0.372    0.000  10.69   9.74   8.44   7.23   6.66   6.43   6.25   6.13   6.20
 0.500  3681.   -1.46  4.81  0.462    0.000   9.74   8.87   7.73   6.61   6.02   5.81   5.65   5.57   5.65
 0.600  3969.   -1.17  4.72  0.557    0.000   8.64   7.86   6.98   5.98   5.35   5.19   5.07   5.03   5.13
 0.700  4385.   -0.87  4.67  0.640    0.000   7.56   6.82   6.22   5.36   4.75   4.65   4.59   4.58   4.69
 0.800  4821.   -0.60  4.62  0.722    0.003   6.58   5.99   5.53   4.82   4.33   4.25   4.21   4.20   4.29
 0.900  5213.   -0.36  4.57  0.818    0.080   5.81   5.32   4.92   4.34   3.94   3.88   3.85   3.84   3.90
 1.000  5580.   -0.14  4.51  0.923    0.307   5.16   4.74   4.39   3.90   3.57   3.53   3.50   3.50   3.54
 1.100  5907.    0.07  4.44  1.048    0.574   4.58   4.22   3.91   3.49   3.21   3.17   3.16   3.16   3.19
 1.200  6183.    0.26  4.36  1.193    0.770   4.07   3.75   3.47   3.11   2.87   2.84   2.83   2.82   2.84
 1.300  6446.    0.44  4.30  1.338    0.880   3.62   3.34   3.08   2.77   2.57   2.54   2.53   2.53   2.53
 1.400  6727.    0.59  4.25  1.474    0.938   3.21   2.96   2.74   2.47   2.30   2.28   2.27   2.27   2.27



  t (Gyr) =   0.8000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.060  1716.   -4.15  5.25  0.096    0.000  22.54  19.13  16.93  13.58  12.49  11.66  10.77  10.44  11.11
 0.070  2136.   -3.75  5.30  0.098    0.000  21.47  18.15  15.62  11.96  11.36  11.06  10.43  10.08  10.81
 0.072  2212.   -3.69  5.31  0.099    0.000  21.21  17.93  15.39  11.88  11.27  10.94  10.34  10.01  10.67
 0.075  2294.   -3.61  5.31  0.100    0.000  20.52  17.33  14.76  11.48  10.99  10.70  10.19   9.87  10.52
 0.080  2436.   -3.47  5.30  0.105    0.000  19.50  16.66  14.12  11.21  10.67  10.37   9.94   9.65  10.19
 0.090  2656.   -3.24  5.27  0.115    0.000  17.85  15.41  13.05  10.68  10.16   9.85   9.51   9.26   9.57
 0.100  2812.   -3.06  5.24  0.126    0.000  16.44  14.49  12.31  10.30   9.76   9.46   9.15   8.94   9.14
 0.200  3260.   -2.32  5.06  0.218    0.000  12.72  11.60  10.02   8.62   8.08   7.82   7.60   7.45   7.53
 0.300  3415.   -1.99  4.98  0.293    0.000  11.54  10.54   9.13   7.85   7.30   7.05   6.85   6.72   6.79
 0.400  3521.   -1.72  4.89  0.374    0.000  10.68   9.73   8.43   7.22   6.65   6.42   6.24   6.12   6.20
 0.500  3680.   -1.46  4.81  0.463    0.000   9.74   8.87   7.73   6.61   6.02   5.81   5.65   5.56   5.64
 0.600  3968.   -1.17  4.72  0.558    0.000   8.63   7.86   6.98   5.98   5.35   5.18   5.07   5.03   5.13
 0.700  4386.   -0.87  4.67  0.641    0.000   7.55   6.82   6.22   5.36   4.75   4.65   4.59   4.58   4.69
 0.800  4823.   -0.60  4.62  0.724    0.003   6.57   5.99   5.52   4.81   4.32   4.25   4.20   4.20   4.28
 0.900  5216.   -0.36  4.56  0.820    0.079   5.80   5.32   4.92   4.33   3.93   3.87   3.84   3.84   3.90
 1.000  5586.   -0.13  4.50  0.927    0.306   5.14   4.73   4.38   3.89   3.56   3.51   3.49   3.49   3.53
 1.100  5910.    0.08  4.43  1.054    0.574   4.57   4.21   3.89   3.48   3.20   3.16   3.15   3.14   3.17
 1.200  6184.    0.27  4.36  1.202    0.770   4.06   3.73   3.45   3.09   2.85   2.82   2.81   2.81   2.82
 1.300  6442.    0.45  4.29  1.356    0.880   3.60   3.31   3.06   2.74   2.54   2.51   2.50   2.50   2.50
 1.400  6705.    0.61  4.23  1.502    0.938   3.19   2.93   2.71   2.44   2.27   2.24   2.24   2.23   2.23



  t (Gyr) =   1.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.060  1584.   -4.30  5.26  0.095    0.000  23.39  19.71  17.46  14.18  12.98  12.06  11.10  10.75  11.33
 0.070  2047.   -3.85  5.33  0.095    0.000  21.76  18.40  15.95  12.23  11.58  11.24  10.56  10.21  10.94
 0.072  2109.   -3.79  5.33  0.096    0.000  21.58  18.23  15.70  11.99  11.41  11.14  10.50  10.14  10.91
 0.075  2243.   -3.67  5.33  0.098    0.000  20.99  17.73  15.17  11.76  11.20  10.88  10.31   9.99  10.65
 0.080  2400.   -3.51  5.32  0.103    0.000  19.85  16.87  14.31  11.31  10.76  10.47  10.03   9.72  10.31
 0.090  2648.   -3.25  5.28  0.114    0.000  17.94  15.48  13.10  10.71  10.19   9.88   9.53   9.29   9.60
 0.100  2810.   -3.06  5.24  0.125    0.000  16.46  14.50  12.32  10.30   9.77   9.47   9.16   8.94   9.15
 0.200  3261.   -2.32  5.06  0.219    0.000  12.72  11.60  10.02   8.62   8.08   7.82   7.60   7.45   7.53
 0.300  3415.   -1.99  4.98  0.293    0.000  11.54  10.53   9.13   7.85   7.29   7.05   6.85   6.72   6.79
 0.400  3520.   -1.72  4.89  0.375    0.000  10.68   9.73   8.43   7.21   6.65   6.41   6.23   6.12   6.19
 0.500  3680.   -1.46  4.80  0.463    0.000   9.73   8.87   7.73   6.61   6.01   5.80   5.65   5.56   5.64
 0.600  3967.   -1.16  4.72  0.559    0.000   8.63   7.86   6.97   5.97   5.34   5.18   5.07   5.02   5.12
 0.700  4387.   -0.87  4.67  0.642    0.000   7.55   6.81   6.21   5.35   4.75   4.64   4.58   4.57   4.68
 0.800  4826.   -0.60  4.62  0.725    0.002   6.57   5.98   5.51   4.81   4.32   4.24   4.20   4.19   4.28
 0.900  5220.   -0.35  4.56  0.822    0.078   5.79   5.31   4.91   4.32   3.92   3.87   3.83   3.83   3.89
 1.000  5592.   -0.13  4.50  0.931    0.306   5.13   4.72   4.37   3.88   3.55   3.50   3.48   3.48   3.52
 1.100  5916.    0.09  4.43  1.062    0.574   4.54   4.18   3.87   3.46   3.18   3.14   3.13   3.13   3.15
 1.200  6187.    0.28  4.35  1.214    0.770   4.03   3.71   3.43   3.07   2.83   2.80   2.79   2.79   2.80
 1.300  6438.    0.46  4.28  1.374    0.880   3.57   3.28   3.03   2.71   2.51   2.48   2.47   2.47   2.48
 1.400  6684.    0.62  4.21  1.533    0.938   3.16   2.90   2.67   2.40   2.23   2.20   2.20   2.19   2.19



  t (Gyr) =   2.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.070  1720.   -4.19  5.36  0.091    0.000  22.68  19.16  16.92  13.62  12.58  11.79  10.94  10.60  11.26
 0.072  1811.   -4.09  5.37  0.092    0.000  22.38  18.92  16.60  13.09  12.24  11.64  10.83  10.49  11.19
 0.075  2083.   -3.84  5.37  0.094    0.000  21.72  18.33  15.82  12.11  11.51  11.24  10.58  10.21  11.00
 0.080  2348.   -3.57  5.34  0.100    0.000  20.21  17.12  14.55  11.41  10.90  10.62  10.14   9.83  10.46
 0.090  2643.   -3.25  5.28  0.113    0.000  17.99  15.51  13.13  10.73  10.20   9.89   9.55   9.30   9.61
 0.100  2810.   -3.06  5.24  0.125    0.000  16.46  14.50  12.32  10.31   9.77   9.47   9.16   8.95   9.15
 0.200  3261.   -2.32  5.06  0.219    0.000  12.72  11.60  10.02   8.62   8.08   7.82   7.60   7.45   7.53
 0.300  3415.   -1.98  4.97  0.295    0.000  11.52  10.52   9.11   7.83   7.28   7.03   6.84   6.70   6.77
 0.400  3519.   -1.71  4.89  0.377    0.000  10.67   9.72   8.41   7.20   6.63   6.40   6.22   6.10   6.18
 0.500  3679.   -1.45  4.80  0.466    0.000   9.73   8.86   7.71   6.59   6.00   5.79   5.64   5.55   5.63
 0.600  3969.   -1.16  4.72  0.561    0.000   8.62   7.84   6.96   5.96   5.33   5.17   5.06   5.01   5.11
 0.700  4396.   -0.86  4.66  0.646    0.000   7.52   6.79   6.19   5.34   4.73   4.63   4.57   4.56   4.67
 0.800  4842.   -0.59  4.61  0.731    0.001   6.52   5.95   5.48   4.78   4.29   4.22   4.18   4.17   4.25
 0.900  5244.   -0.33  4.55  0.833    0.073   5.73   5.26   4.86   4.28   3.89   3.83   3.80   3.79   3.85
 1.000  5627.   -0.10  4.48  0.951    0.306   5.05   4.64   4.30   3.82   3.50   3.45   3.43   3.43   3.47
 1.100  5945.    0.13  4.40  1.101    0.574   4.44   4.09   3.78   3.37   3.10   3.06   3.05   3.04   3.07
 1.200  6202.    0.33  4.30  1.284    0.770   3.90   3.58   3.30   2.94   2.71   2.67   2.66   2.66   2.67
 1.300  6403.    0.52  4.20  1.493    0.880   3.42   3.12   2.87   2.55   2.34   2.31   2.30   2.30   2.30
 1.400  6464.    0.68  4.09  1.765    0.938   3.01   2.72   2.47   2.16   1.97   1.94   1.93   1.93   1.93



  t (Gyr) =   3.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.070  1650.   -4.27  5.37  0.091    0.000  23.35  19.66  17.36  13.98  12.86  12.02  11.13  10.72  11.43
 0.072  1793.   -4.11  5.37  0.092    0.000  22.43  18.96  16.66  13.19  12.31  11.67  10.86  10.52  11.20
 0.075  2052.   -3.87  5.38  0.093    0.000  21.83  18.42  15.95  12.25  11.62  11.30  10.62  10.26  11.02
 0.080  2343.   -3.58  5.34  0.100    0.000  20.25  17.14  14.57  11.42  10.92  10.63  10.15   9.84  10.48
 0.090  2644.   -3.25  5.28  0.113    0.000  17.98  15.51  13.12  10.72  10.20   9.89   9.55   9.30   9.61
 0.100  2810.   -3.06  5.24  0.125    0.000  16.46  14.50  12.32  10.30   9.77   9.47   9.16   8.94   9.15
 0.200  3261.   -2.32  5.06  0.219    0.000  12.71  11.60  10.02   8.62   8.08   7.82   7.59   7.44   7.53
 0.300  3416.   -1.97  4.97  0.297    0.000  11.51  10.50   9.09   7.81   7.26   7.02   6.82   6.69   6.75
 0.400  3520.   -1.71  4.88  0.378    0.000  10.66   9.71   8.41   7.19   6.63   6.39   6.21   6.10   6.17
 0.500  3679.   -1.45  4.80  0.468    0.000   9.72   8.85   7.71   6.59   5.99   5.78   5.63   5.54   5.62
 0.600  3974.   -1.15  4.71  0.563    0.000   8.60   7.83   6.95   5.95   5.32   5.16   5.05   5.00   5.10
 0.700  4407.   -0.85  4.66  0.648    0.000   7.49   6.76   6.17   5.32   4.72   4.62   4.56   4.55   4.65
 0.800  4859.   -0.57  4.61  0.736    0.001   6.48   5.91   5.45   4.75   4.27   4.20   4.16   4.15   4.23
 0.900  5270.   -0.31  4.54  0.845    0.070   5.67   5.20   4.81   4.24   3.85   3.79   3.76   3.76   3.82
 1.000  5661.   -0.06  4.46  0.974    0.306   4.96   4.56   4.22   3.75   3.43   3.39   3.37   3.37   3.41
 1.100  5974.    0.17  4.36  1.152    0.574   4.32   3.97   3.66   3.26   3.00   2.96   2.94   2.94   2.97
 1.200  6191.    0.39  4.24  1.377    0.770   3.76   3.43   3.16   2.80   2.56   2.53   2.52   2.51   2.53
 1.300  6177.    0.56  4.10  1.685    0.880   3.33   3.01   2.73   2.36   2.13   2.09   2.08   2.08   2.09



  t (Gyr) =   4.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.070  1631.   -4.29  5.37  0.090    0.000  23.39  19.69  17.41  14.07  12.93  12.06  11.15  10.77  11.42
 0.072  1790.   -4.12  5.37  0.092    0.000  22.44  18.97  16.67  13.21  12.33  11.68  10.86  10.52  11.21
 0.075  2041.   -3.88  5.38  0.092    0.000  21.86  18.45  15.99  12.30  11.65  11.32  10.63  10.28  11.03
 0.080  2343.   -3.58  5.34  0.100    0.000  20.25  17.14  14.57  11.42  10.92  10.64  10.15   9.84  10.48
 0.090  2644.   -3.25  5.28  0.113    0.000  17.98  15.51  13.12  10.72  10.20   9.89   9.54   9.30   9.61
 0.100  2811.   -3.06  5.24  0.125    0.000  16.46  14.50  12.32  10.30   9.77   9.47   9.16   8.94   9.15
 0.200  3262.   -2.32  5.06  0.219    0.000  12.71  11.59  10.02   8.62   8.07   7.81   7.59   7.44   7.52
 0.300  3416.   -1.97  4.96  0.299    0.000  11.49  10.49   9.08   7.80   7.24   7.00   6.80   6.67   6.74
 0.400  3520.   -1.71  4.88  0.379    0.000  10.65   9.70   8.40   7.19   6.62   6.39   6.21   6.09   6.16
 0.500  3680.   -1.45  4.79  0.469    0.000   9.71   8.84   7.70   6.58   5.99   5.78   5.62   5.53   5.62
 0.600  3979.   -1.15  4.71  0.565    0.000   8.58   7.81   6.94   5.94   5.31   5.15   5.04   4.99   5.10
 0.700  4418.   -0.85  4.66  0.651    0.000   7.46   6.74   6.15   5.30   4.70   4.60   4.54   4.53   4.64
 0.800  4878.   -0.56  4.60  0.742    0.000   6.44   5.87   5.42   4.73   4.25   4.18   4.14   4.13   4.21
 0.900  5297.   -0.29  4.53  0.857    0.068   5.61   5.15   4.76   4.19   3.81   3.76   3.73   3.72   3.78
 1.000  5697.   -0.03  4.44  1.002    0.306   4.87   4.48   4.14   3.68   3.36   3.32   3.30   3.30   3.34
 1.100  5996.    0.23  4.31  1.214    0.574   4.19   3.84   3.54   3.14   2.88   2.84   2.83   2.82   2.85
 1.200  6053.    0.43  4.16  1.503    0.770   3.68   3.34   3.04   2.66   2.40   2.37   2.35   2.35   2.37



  t (Gyr) =   5.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.070  1627.   -4.30  5.37  0.090    0.000  23.40  19.70  17.43  14.09  12.94  12.07  11.15  10.78  11.42
 0.072  1790.   -4.12  5.37  0.092    0.000  22.44  18.97  16.67  13.22  12.33  11.68  10.86  10.52  11.21
 0.075  2038.   -3.89  5.38  0.092    0.000  21.88  18.46  16.00  12.31  11.67  11.33  10.64  10.28  11.03
 0.080  2343.   -3.58  5.34  0.100    0.000  20.25  17.14  14.57  11.42  10.92  10.64  10.15   9.84  10.48
 0.090  2644.   -3.25  5.28  0.113    0.000  17.98  15.50  13.12  10.72  10.20   9.89   9.54   9.30   9.61
 0.100  2811.   -3.06  5.24  0.125    0.000  16.46  14.50  12.31  10.30   9.77   9.47   9.16   8.94   9.15
 0.200  3262.   -2.32  5.06  0.219    0.000  12.70  11.59  10.01   8.61   8.07   7.81   7.59   7.44   7.52
 0.300  3416.   -1.96  4.96  0.301    0.000  11.48  10.48   9.06   7.78   7.23   6.99   6.79   6.66   6.73
 0.400  3521.   -1.71  4.88  0.380    0.000  10.64   9.70   8.39   7.18   6.61   6.38   6.20   6.09   6.16
 0.500  3682.   -1.44  4.79  0.470    0.000   9.70   8.83   7.69   6.57   5.98   5.77   5.61   5.53   5.61
 0.600  3984.   -1.15  4.71  0.567    0.000   8.56   7.79   6.92   5.93   5.30   5.14   5.03   4.98   5.09
 0.700  4430.   -0.84  4.65  0.654    0.000   7.43   6.71   6.13   5.29   4.69   4.59   4.53   4.52   4.63
 0.800  4896.   -0.55  4.59  0.748    0.000   6.40   5.84   5.38   4.70   4.23   4.16   4.11   4.11   4.19
 0.900  5325.   -0.27  4.51  0.870    0.066   5.54   5.09   4.70   4.15   3.77   3.72   3.69   3.68   3.74
 1.000  5732.    0.01  4.41  1.036    0.306   4.76   4.38   4.04   3.59   3.28   3.24   3.22   3.22   3.26
 1.100  5971.    0.27  4.26  1.292    0.574   4.07   3.72   3.42   3.01   2.75   2.71   2.70   2.69   2.72



  t (Gyr) =   8.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.070  1626.   -4.30  5.37  0.090    0.000  23.40  19.71  17.43  14.09  12.94  12.07  11.16  10.79  11.42
 0.072  1789.   -4.12  5.37  0.092    0.000  22.44  18.97  16.67  13.22  12.33  11.68  10.86  10.52  11.21
 0.075  2036.   -3.89  5.38  0.092    0.000  21.88  18.46  16.01  12.32  11.67  11.33  10.64  10.29  11.04
 0.080  2344.   -3.58  5.34  0.100    0.000  20.24  17.14  14.56  11.42  10.92  10.63  10.15   9.84  10.47
 0.090  2645.   -3.25  5.28  0.114    0.000  17.97  15.50  13.12  10.72  10.20   9.89   9.54   9.30   9.61
 0.100  2812.   -3.06  5.24  0.125    0.000  16.45  14.49  12.31  10.30   9.77   9.46   9.15   8.94   9.15
 0.200  3264.   -2.31  5.05  0.221    0.000  12.69  11.57  10.00   8.60   8.06   7.80   7.57   7.42   7.51
 0.300  3416.   -1.95  4.95  0.305    0.000  11.45  10.45   9.04   7.76   7.20   6.96   6.76   6.63   6.70
 0.400  3522.   -1.70  4.87  0.382    0.000  10.63   9.68   8.38   7.17   6.60   6.37   6.19   6.07   6.14
 0.500  3686.   -1.44  4.79  0.473    0.000   9.67   8.81   7.67   6.56   5.96   5.75   5.60   5.51   5.59
 0.600  4001.   -1.13  4.70  0.571    0.000   8.51   7.75   6.89   5.90   5.26   5.11   5.00   4.96   5.07
 0.700  4467.   -0.81  4.64  0.662    0.000   7.34   6.63   6.07   5.23   4.65   4.55   4.50   4.49   4.59
 0.800  4958.   -0.50  4.57  0.767    0.000   6.26   5.72   5.27   4.61   4.15   4.09   4.05   4.04   4.12
 0.900  5420.   -0.19  4.46  0.921    0.063   5.32   4.88   4.51   3.98   3.62   3.57   3.54   3.54   3.59
 1.000  5772.    0.15  4.28  1.196    0.306   4.41   4.04   3.71   3.26   2.96   2.92   2.90   2.90   2.93



  t (Gyr) =  10.0000
 M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mv     Mr     Mi     Mj      Mh     Mk     Ml    Mll    Mm 
 0.070  1626.   -4.30  5.37  0.090    0.000  23.40  19.70  17.43  14.09  12.94  12.07  11.16  10.79  11.42
 0.072  1790.   -4.12  5.37  0.092    0.000  22.44  18.97  16.67  13.22  12.33  11.68  10.86  10.52  11.21
 0.075  2037.   -3.89  5.38  0.092    0.000  21.88  18.46  16.00  12.32  11.67  11.33  10.64  10.29  11.04
 0.080  2345.   -3.58  5.34  0.100    0.000  20.24  17.13  14.56  11.42  10.91  10.63  10.15   9.84  10.47
 0.090  2646.   -3.25  5.28  0.114    0.000  17.96  15.49  13.11  10.72  10.20   9.89   9.54   9.29   9.61
 0.100  2812.   -3.06  5.24  0.125    0.000  16.45  14.49  12.31  10.30   9.77   9.46   9.15   8.94   9.15
 0.200  3265.   -2.31  5.05  0.222    0.000  12.68  11.56   9.99   8.59   8.05   7.79   7.57   7.41   7.50
 0.300  3416.   -1.95  4.94  0.307    0.000  11.44  10.44   9.02   7.74   7.19   6.94   6.75   6.62   6.69
 0.400  3524.   -1.70  4.87  0.383    0.000  10.62   9.68   8.37   7.16   6.59   6.36   6.18   6.07   6.14
 0.500  3689.   -1.43  4.78  0.475    0.000   9.66   8.79   7.66   6.55   5.95   5.74   5.59   5.50   5.58
 0.600  4013.   -1.12  4.70  0.574    0.000   8.48   7.71   6.86   5.88   5.24   5.09   4.98   4.94   5.05
 0.700  4493.   -0.79  4.63  0.667    0.000   7.27   6.58   6.02   5.20   4.62   4.52   4.47   4.46   4.56
 0.800  5002.   -0.47  4.55  0.782    0.000   6.16   5.63   5.19   4.54   4.10   4.03   3.99   3.99   4.06
 0.900  5495.   -0.12  4.42  0.971    0.063   5.13   4.71   4.34   3.83   3.49   3.44   3.41   3.41   3.46
