



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 9.000000 1.000000 18.085000 18.381000 16.834000 14.786000 12.645000 11.544000 20.675000 18.011000 18.856000 16.458000 18.352000 17.001000 17.404000 15.906000 13.407000 12.821000 12.715000 12.629000 28.483000 21.730000 18.787000 18.929000 17.339000 17.731000 15.744000 12.967000 16.376000
1.000000 0.001000 2.000000 0.001909 9.000000 1.000000 16.354000 15.928000 14.928000 13.243000 11.910000 10.820000 17.991000 15.682000 16.329000 14.588000 15.947000 14.910000 15.241000 14.010000 12.206000 11.870000 11.965000 11.915000 26.567000 19.466000 17.057000 16.529000 15.338000 15.513000 13.999000 12.031000 14.557000
1.000000 0.001000 3.000000 0.002864 9.000000 1.000000 15.690000 15.048000 14.266000 12.675000 11.627000 10.565000 17.001000 14.853000 15.449000 13.964000 15.095000 14.187000 14.450000 13.319000 11.770000 11.521000 11.678000 11.639000 25.847000 18.606000 16.375000 15.667000 14.648000 14.730000 13.357000 11.674000 13.886000
1.000000 0.001000 4.000000 0.003818 9.000000 1.000000 15.267000 14.518000 13.842000 12.328000 11.451000 10.407000 16.388000 14.353000 14.913000 13.576000 14.570000 13.748000 13.955000 12.898000 11.506000 11.308000 11.500000 11.465000 25.386000 18.070000 15.935000 15.144000 14.215000 14.250000 12.962000 11.454000 13.470000
1.000000 0.001000 5.000000 0.004773 9.000000 1.000000 14.960000 14.145000 13.527000 12.083000 11.328000 10.297000 15.948000 14.002000 14.531000 13.293000 14.193000 13.436000 13.599000 12.602000 11.323000 11.160000 11.375000 11.341000 25.045000 17.684000 15.611000 14.773000 13.899000 13.907000 12.682000 11.300000 13.174000
1.000000 0.001000 6.000000 0.005727 9.000000 1.000000 14.725000 13.865000 13.281000 11.901000 11.238000 10.216000 15.611000 13.739000 14.242000 13.074000 13.906000 13.202000 13.328000 12.380000 11.189000 11.053000 11.285000 11.251000 24.780000 17.390000 15.362000 14.494000 13.656000 13.648000 12.471000 11.187000 12.949000
1.000000 0.001000 7.000000 0.006682 9.000000 1.000000 14.535000 13.641000 13.074000 11.755000 11.168000 10.153000 15.334000 13.529000 14.006000 12.893000 13.672000 13.011000 13.105000 12.201000 11.084000 10.969000 11.215000 11.181000 24.558000 17.151000 15.159000 14.269000 13.454000 13.436000 12.300000 11.099000 12.767000
1.000000 0.001000 8.000000 0.007637 9.000000 1.000000 14.380000 13.458000 12.899000 11.637000 11.115000 10.103000 15.104000 13.358000 13.812000 12.741000 13.477000 12.855000 12.920000 12.056000 11.001000 10.903000 11.162000 11.126000 24.370000 16.954000 14.992000 14.084000 13.285000 13.261000 12.161000 11.029000 12.616000
1.000000 0.001000 9.000000 0.008591 9.000000 1.000000 14.249000 13.302000 12.743000 11.536000 11.072000 10.061000 14.904000 13.214000 13.643000 12.608000 13.307000 12.720000 12.759000 11.931000 10.931000 10.848000 11.119000 11.082000 24.203000 16.786000 14.849000 13.925000 13.136000 13.109000 12.040000 10.972000 12.486000
1.000000 0.001000 10.000000 0.009546 9.000000 1.000000 14.140000 13.171000 12.607000 11.451000 11.038000 10.027000 14.732000 13.093000 13.498000 12.493000 13.161000 12.605000 12.620000 11.824000 10.875000 10.804000 11.086000 11.047000 24.058000 16.643000 14.729000 13.791000 13.008000 12.979000 11.937000 10.925000 12.375000
1.000000 0.001000 11.000000 0.010500 9.000000 1.000000 14.044000 13.056000 12.483000 11.375000 11.011000 9.997000 14.577000 12.987000 13.368000 12.388000 13.029000 12.502000 12.494000 11.729000 10.826000 10.765000 11.058000 11.017000 23.924000 16.516000 14.624000 13.671000 12.891000 12.861000 11.845000 10.886000 12.274000
1.000000 0.001000 12.000000 0.011455 9.000000 1.000000 13.962000 12.955000 12.370000 11.308000 10.989000 9.971000 14.438000 12.895000 13.252000 12.294000 12.910000 12.409000 12.380000 11.644000 10.784000 10.733000 11.037000 10.993000 23.803000 16.405000 14.532000 13.566000 12.786000 12.756000 11.762000 10.852000 12.184000
1.000000 0.001000 13.000000 0.012410 9.000000 1.000000 13.883000 12.857000 12.257000 11.242000 10.966000 9.944000 14.301000 12.806000 13.138000 12.202000 12.792000 12.317000 12.264000 11.558000 10.743000 10.700000 11.015000 10.968000 23.678000 16.295000 14.443000 13.463000 12.682000 12.650000 11.678000 10.819000 12.093000
