



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 8.250000 4.000000 18.935000 21.732000 20.037000 17.361000 14.144000 12.916000 23.658000 21.259000 23.371000 19.661000 22.640000 20.445000 21.756000 19.186000 15.573000 14.750000 14.224000 14.163000 31.591000 23.492000 19.351000 22.162000 20.681000 21.297000 18.699000 14.732000 19.320000
1.000000 0.001000 2.000000 0.001909 8.250000 4.000000 17.629000 19.487000 18.479000 15.976000 13.516000 12.370000 21.718000 19.041000 21.149000 18.098000 20.577000 18.764000 19.831000 17.466000 14.456000 13.849000 13.577000 13.564000 29.933000 21.726000 18.132000 19.965000 19.070000 19.547000 17.154000 13.934000 17.798000
1.000000 0.001000 3.000000 0.002864 8.250000 4.000000 17.035000 18.500000 17.776000 15.365000 13.214000 12.124000 20.837000 18.072000 20.126000 17.394000 19.658000 18.021000 18.987000 16.719000 13.956000 13.446000 13.266000 13.278000 29.276000 20.965000 17.580000 19.003000 18.336000 18.765000 16.476000 13.554000 17.125000
1.000000 0.001000 4.000000 0.003818 8.250000 4.000000 16.627000 17.847000 17.287000 14.964000 13.014000 11.958000 20.237000 17.436000 19.430000 16.907000 19.045000 17.521000 18.426000 16.232000 13.629000 13.185000 13.061000 13.087000 28.876000 20.466000 17.200000 18.369000 17.826000 18.239000 16.031000 13.301000 16.679000
1.000000 0.001000 5.000000 0.004773 8.250000 4.000000 16.316000 17.362000 16.913000 14.671000 12.868000 11.837000 19.781000 16.966000 18.905000 16.534000 18.588000 17.147000 18.010000 15.877000 13.391000 12.997000 12.911000 12.948000 28.603000 20.100000 16.911000 17.899000 17.435000 17.845000 15.706000 13.116000 16.351000
1.000000 0.001000 6.000000 0.005727 8.250000 4.000000 16.050000 16.958000 16.588000 14.430000 12.750000 11.735000 19.392000 16.576000 18.461000 16.211000 18.205000 16.830000 17.662000 15.585000 13.197000 12.846000 12.790000 12.834000 28.389000 19.794000 16.663000 17.509000 17.097000 17.513000 15.438000 12.964000 16.079000
1.000000 0.001000 7.000000 0.006682 8.250000 4.000000 15.788000 16.573000 16.260000 14.198000 12.641000 11.632000 19.013000 16.206000 18.032000 15.887000 17.834000 16.519000 17.321000 15.305000 13.011000 12.704000 12.678000 12.728000 28.181000 19.496000 16.416000 17.137000 16.759000 17.188000 15.180000 12.819000 15.814000
1.000000 0.001000 8.000000 0.007637 8.250000 4.000000 15.563000 16.245000 15.979000 14.004000 12.551000 11.544000 18.687000 15.892000 17.666000 15.609000 17.518000 16.254000 17.033000 15.070000 12.855000 12.587000 12.586000 12.640000 28.014000 19.242000 16.204000 16.822000 16.468000 16.911000 14.963000 12.698000 15.590000
1.000000 0.001000 9.000000 0.008591 8.250000 4.000000 15.361000 15.953000 15.724000 13.831000 12.472000 11.466000 18.392000 15.614000 17.339000 15.358000 17.235000 16.016000 16.775000 14.861000 12.717000 12.485000 12.506000 12.563000 27.867000 19.014000 16.012000 16.542000 16.206000 16.662000 14.769000 12.591000 15.390000
1.000000 0.001000 10.000000 0.009546 8.250000 4.000000 15.186000 15.700000 15.502000 13.683000 12.406000 11.399000 18.136000 15.373000 17.055000 15.141000 16.989000 15.809000 16.554000 14.683000 12.600000 12.398000 12.439000 12.498000 27.746000 18.816000 15.845000 16.300000 15.979000 16.446000 14.603000 12.500000 15.217000
