



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 9.750000 1.000000 16.322000 16.196000 14.310000 13.290000 11.768000 10.459000 18.185000 15.937000 16.254000 13.954000 15.859000 14.818000 15.100000 14.105000 12.174000 11.763000 11.840000 11.724000 26.513000 19.790000 17.015000 16.765000 14.808000 15.464000 14.029000 11.931000 14.561000
1.000000 0.001000 2.000000 0.001909 9.750000 1.000000 14.752000 13.995000 12.855000 11.866000 11.111000 9.898000 15.666000 13.872000 14.120000 12.601000 13.738000 13.015000 13.114000 12.346000 11.121000 10.929000 11.171000 11.084000 24.636000 17.609000 15.394000 14.594000 13.271000 13.497000 12.393000 11.083000 12.845000
1.000000 0.001000 3.000000 0.002864 9.750000 1.000000 14.064000 13.167000 12.255000 11.293000 10.812000 9.663000 14.681000 13.086000 13.312000 12.090000 12.921000 12.328000 12.312000 11.655000 10.703000 10.584000 10.869000 10.788000 23.817000 16.701000 14.668000 13.763000 12.663000 12.733000 11.734000 10.722000 12.156000
1.000000 0.001000 4.000000 0.003818 9.750000 1.000000 13.639000 12.701000 11.894000 10.960000 10.624000 9.521000 14.112000 12.639000 12.853000 11.793000 12.454000 11.933000 11.843000 11.260000 10.462000 10.379000 10.680000 10.601000 23.308000 16.154000 14.218000 13.289000 12.305000 12.293000 11.351000 10.507000 11.754000
1.000000 0.001000 5.000000 0.004773 9.750000 1.000000 13.331000 12.383000 11.634000 10.730000 10.489000 9.422000 13.714000 12.332000 12.535000 11.581000 12.131000 11.660000 11.517000 10.989000 10.297000 10.237000 10.545000 10.466000 22.931000 15.763000 13.890000 12.959000 12.050000 11.986000 11.084000 10.356000 11.474000
1.000000 0.001000 6.000000 0.005727 9.750000 1.000000 13.088000 12.144000 11.429000 10.556000 10.385000 9.348000 13.408000 12.099000 12.292000 11.416000 11.884000 11.451000 11.267000 10.785000 10.173000 10.130000 10.440000 10.362000 22.629000 15.457000 13.633000 12.707000 11.851000 11.752000 10.880000 10.242000 11.259000
1.000000 0.001000 7.000000 0.006682 9.750000 1.000000 12.895000 11.959000 11.267000 10.423000 10.304000 9.293000 13.167000 11.920000 12.102000 11.286000 11.693000 11.289000 11.074000 10.628000 10.079000 10.048000 10.360000 10.281000 22.382000 15.214000 13.428000 12.511000 11.693000 11.570000 10.723000 10.155000 11.092000
1.000000 0.001000 8.000000 0.007637 9.750000 1.000000 12.728000 11.803000 11.127000 10.310000 10.237000 9.248000 12.961000 11.768000 11.940000 11.173000 11.529000 11.152000 10.909000 10.496000 10.001000 9.980000 10.293000 10.214000 22.163000 15.003000 13.250000 12.343000 11.557000 11.414000 10.589000 10.083000 10.950000
1.000000 0.001000 9.000000 0.008591 9.750000 1.000000 12.570000 11.659000 10.993000 10.205000 10.175000 9.206000 12.766000 11.627000 11.787000 11.065000 11.375000 11.022000 10.754000 10.374000 9.930000 9.919000 10.231000 10.151000 21.952000 14.804000 13.082000 12.186000 11.427000 11.267000 10.463000 10.017000 10.816000
1.000000 0.001000 10.000000 0.009546 9.750000 1.000000 12.413000 11.520000 10.861000 10.104000 10.114000 9.166000 12.575000 11.491000 11.638000 10.959000 11.224000 10.895000 10.603000 10.255000 9.862000 9.859000 10.170000 10.089000 21.739000 14.607000 12.915000 12.032000 11.298000 11.123000 10.341000 9.952000 10.685000
1.000000 0.001000 11.000000 0.010500 9.750000 1.000000 12.272000 11.398000 10.745000 10.015000 10.060000 9.132000 12.406000 11.371000 11.507000 10.865000 11.093000 10.783000 10.470000 10.152000 9.803000 9.808000 10.117000 10.035000 21.546000 14.431000 12.766000 11.897000 11.185000 10.997000 10.233000 9.897000 10.570000
1.000000 0.001000 12.000000 0.011455 9.750000 1.000000 12.135000 11.282000 10.635000 9.930000 10.007000 9.099000 12.245000 11.257000 11.382000 10.775000 10.967000 10.676000 10.343000 10.053000 9.747000 9.758000 10.065000 9.982000 21.357000 14.260000 12.621000 11.766000 11.075000 10.875000 10.130000 9.842000 10.459000
1.000000 0.001000 13.000000 0.012410 9.750000 1.000000 11.996000 11.168000 10.527000 9.846000 9.952000 9.064000 12.087000 11.143000 11.259000 10.685000 10.845000 10.570000 10.219000 9.957000 9.689000 9.707000 10.010000 9.926000 21.168000 14.089000 12.475000 11.638000 10.968000 10.756000 10.028000 9.787000 10.350000
1.000000 0.001000 14.000000 0.013364 9.750000 1.000000 11.824000 11.028000 10.398000 9.741000 9.876000 9.014000 11.899000 11.004000 11.111000 10.575000 10.698000 10.440000 10.070000 9.838000 9.613000 9.638000 9.934000 9.850000 20.941000 13.882000 12.295000 11.481000 10.837000 10.612000 9.903000 9.712000 10.216000
1.000000 0.001000 15.000000 0.014319 9.750000 1.000000 11.745000 10.969000 10.343000 9.700000 9.852000 9.004000 11.811000 10.944000 11.046000 10.530000 10.634000 10.386000 10.005000 9.790000 9.588000 9.617000 9.910000 9.825000 20.826000 13.781000 12.212000 11.411000 10.780000 10.550000 9.851000 9.688000 10.159000




   t (Gyr) = 0.002
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
2.000000 0.002000 1.000000 0.000955 9.750000 1.000000 17.009000 17.055000 15.272000 13.884000 12.118000 10.887000 19.176000 16.746000 17.259000 14.906000 16.832000 15.668000 16.005000 14.818000 12.661000 12.183000 12.189000 12.086000 27.290000 20.557000 17.710000 17.618000 15.774000 16.350000 14.713000 12.345000 15.288000
2.000000 0.002000 2.000000 0.001909 9.750000 1.000000 15.291000 14.638000 13.532000 12.335000 11.390000 10.212000 16.445000 14.474000 14.842000 13.242000 14.466000 13.642000 13.822000 12.906000 11.488000 11.251000 11.449000 11.374000 25.285000 18.235000 15.957000 15.243000 13.942000 14.166000 12.940000 11.409000 13.428000
2.000000 0.002000 3.000000 0.002864 9.750000 1.000000 14.496000 13.655000 12.767000 11.661000 11.039000 9.904000 15.285000 13.546000 13.855000 12.559000 13.476000 12.807000 12.864000 12.091000 10.986000 10.836000 11.094000 11.023000 24.349000 17.205000 15.124000 14.263000 13.164000 13.249000 12.166000 10.980000 12.614000
2.000000 0.002000 4.000000 0.003818 9.750000 1.000000 13.985000 13.075000 12.286000 11.250000 10.808000 9.709000 14.580000 12.994000 13.267000 12.145000 12.880000 12.303000 12.272000 11.600000 10.682000 10.578000 10.863000 10.791000 23.738000 16.557000 14.583000 13.676000 12.686000 12.692000 11.691000 10.711000 12.114000
2.000000 0.002000 5.000000 0.004773 9.750000 1.000000 13.622000 12.687000 11.951000 10.970000 10.646000 9.577000 14.097000 12.622000 12.870000 11.863000 12.476000 11.961000 11.867000 11.268000 10.478000 10.402000 10.700000 10.628000 23.295000 16.102000 14.198000 13.276000 12.358000 12.312000 11.365000 10.527000 11.771000
2.000000 0.002000 6.000000 0.005727 9.750000 1.000000 13.345000 12.403000 11.699000 10.764000 10.524000 9.481000 13.737000 12.349000 12.577000 11.654000 12.178000 11.710000 11.567000 11.025000 10.330000 10.274000 10.579000 10.505000 22.951000 15.756000 13.904000 12.981000 12.113000 12.032000 11.123000 10.391000 11.516000
2.000000 0.002000 7.000000 0.006682 9.750000 1.000000 13.124000 12.184000 11.499000 10.604000 10.429000 9.408000 13.452000 12.137000 12.347000 11.489000 11.945000 11.513000 11.331000 10.836000 10.216000 10.174000 10.484000 10.409000 22.668000 15.478000 13.668000 12.748000 11.918000 11.811000 10.934000 10.286000 11.315000
2.000000 0.002000 8.000000 0.007637 9.750000 1.000000 12.942000 12.008000 11.335000 10.475000 10.353000 9.352000 13.220000 11.967000 12.162000 11.355000 11.757000 11.354000 11.142000 10.685000 10.127000 10.096000 10.408000 10.332000 22.431000 15.250000 13.475000 12.561000 11.760000 11.633000 10.781000 10.204000 11.153000
2.000000 0.002000 9.000000 0.008591 9.750000 1.000000 12.763000 11.839000 11.174000 10.351000 10.280000 9.298000 12.993000 11.803000 11.981000 11.223000 11.573000 11.199000 10.957000 10.538000 10.042000 10.022000 10.335000 10.258000 22.191000 15.026000 13.284000 12.378000 11.604000 11.459000 10.632000 10.124000 10.995000
2.000000 0.002000 10.000000 0.009546 9.750000 1.000000 12.594000 11.685000 11.024000 10.238000 10.213000 9.250000 12.783000 11.653000 11.814000 11.102000 11.404000 11.056000 10.786000 10.405000 9.965000 9.955000 10.269000 10.190000 21.962000 14.815000 13.105000 12.209000 11.459000 11.298000 10.495000 10.053000 10.848000
2.000000 0.002000 11.000000 0.010500 9.750000 1.000000 12.438000 11.545000 10.888000 10.135000 10.151000 9.207000 12.590000 11.517000 11.663000 10.991000 11.250000 10.926000 10.631000 10.284000 9.896000 9.894000 10.208000 10.127000 21.747000 14.619000 12.938000 12.054000 11.326000 11.151000 10.370000 9.988000 10.715000
2.000000 0.002000 12.000000 0.011455 9.750000 1.000000 12.283000 11.410000 10.757000 10.034000 10.089000 9.164000 12.405000 11.385000 11.517000 10.883000 11.103000 10.800000 10.481000 10.168000 9.829000 9.834000 10.146000 10.063000 21.534000 14.427000 12.774000 11.905000 11.198000 11.009000 10.249000 9.923000 10.585000
2.000000 0.002000 13.000000 0.012410 9.750000 1.000000 12.103000 11.259000 10.612000 9.919000 10.011000 9.110000 12.199000 11.234000 11.353000 10.760000 10.939000 10.657000 10.314000 10.037000 9.748000 9.761000 10.069000 9.985000 21.294000 14.209000 12.585000 11.735000 11.053000 10.850000 10.111000 9.845000 10.438000
