



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 1.000000 0.000955 10.750000 4.000000 13.799000 14.766000 13.235000 12.556000 11.972000 10.011000 16.987000 14.471000 15.861000 12.903000 15.899000 14.306000 14.907000 13.463000 11.640000 11.696000 12.041000 11.881000 25.861000 17.428000 14.396000 15.321000 13.849000 15.130000 13.374000 11.746000 13.983000
1.000000 0.001000 2.000000 0.001909 10.750000 4.000000 12.593000 12.715000 11.992000 11.060000 11.353000 9.625000 14.991000 12.455000 13.771000 11.834000 13.781000 12.874000 12.812000 11.624000 10.479000 10.827000 11.408000 11.265000 23.940000 15.673000 13.250000 13.431000 12.621000 13.465000 11.687000 10.783000 12.351000
1.000000 0.001000 3.000000 0.002864 10.750000 4.000000 11.900000 11.729000 11.231000 10.308000 10.969000 9.374000 13.910000 11.486000 12.738000 11.238000 12.745000 12.127000 11.744000 10.727000 9.896000 10.360000 11.022000 10.878000 22.937000 14.782000 12.559000 12.514000 11.915000 12.586000 10.842000 10.264000 11.518000
1.000000 0.001000 4.000000 0.003818 10.750000 4.000000 11.412000 11.113000 10.696000 9.825000 10.678000 9.189000 13.167000 10.881000 12.077000 10.826000 12.079000 11.623000 11.050000 10.160000 9.520000 10.036000 10.731000 10.587000 22.265000 14.190000 12.059000 11.918000 11.423000 11.994000 10.298000 9.916000 10.972000
1.000000 0.001000 5.000000 0.004773 10.750000 4.000000 11.052000 10.695000 10.314000 9.494000 10.448000 9.048000 12.623000 10.472000 11.619000 10.528000 11.616000 11.257000 10.570000 9.776000 9.260000 9.796000 10.502000 10.359000 21.783000 13.764000 11.684000 11.497000 11.066000 11.569000 9.922000 9.667000 10.589000
1.000000 0.001000 6.000000 0.005727 10.750000 4.000000 10.785000 10.401000 10.038000 9.259000 10.267000 8.940000 12.218000 10.186000 11.289000 10.308000 11.283000 10.986000 10.227000 9.505000 9.074000 9.614000 10.321000 10.181000 21.422000 13.448000 11.402000 11.189000 10.801000 11.257000 9.653000 9.485000 10.313000
1.000000 0.001000 7.000000 0.006682 10.750000 4.000000 10.578000 10.183000 9.830000 9.083000 10.120000 8.855000 11.902000 9.973000 11.038000 10.137000 11.029000 10.776000 9.968000 9.303000 8.934000 9.472000 10.176000 10.037000 21.136000 13.201000 11.182000 10.953000 10.596000 11.015000 9.451000 9.345000 10.102000
1.000000 0.001000 8.000000 0.007637 10.750000 4.000000 10.416000 10.018000 9.671000 8.950000 10.002000 8.789000 11.653000 9.813000 10.844000 10.005000 10.833000 10.610000 9.771000 9.150000 8.828000 9.360000 10.059000 9.922000 20.905000 13.005000 11.008000 10.768000 10.436000 10.826000 9.297000 9.237000 9.939000
1.000000 0.001000 9.000000 0.008591 10.750000 4.000000 10.286000 9.889000 9.546000 8.846000 9.905000 8.737000 11.452000 9.689000 10.690000 9.899000 10.677000 10.478000 9.615000 9.031000 8.745000 9.269000 9.963000 9.828000 20.714000 12.845000 10.868000 10.620000 10.308000 10.675000 9.175000 9.152000 9.810000
1.000000 0.001000 10.000000 0.009546 10.750000 4.000000 10.181000 9.787000 9.447000 8.764000 9.825000 8.695000 11.286000 9.591000 10.564000 9.813000 10.551000 10.369000 9.490000 8.937000 8.680000 9.196000 9.883000 9.750000 20.552000 12.711000 10.754000 10.500000 10.203000 10.551000 9.079000 9.084000 9.706000
1.000000 0.001000 11.000000 0.010500 10.750000 4.000000 10.094000 9.705000 9.367000 8.698000 9.757000 8.662000 11.147000 9.512000 10.461000 9.742000 10.447000 10.278000 9.388000 8.862000 8.628000 9.135000 9.816000 9.685000 20.413000 12.599000 10.659000 10.399000 10.116000 10.448000 9.001000 9.028000 9.620000
1.000000 0.001000 12.000000 0.011455 10.750000 4.000000 10.023000 9.639000 9.303000 8.646000 9.701000 8.635000 11.032000 9.450000 10.376000 9.683000 10.362000 10.203000 9.306000 8.802000 8.586000 9.085000 9.760000 9.630000 20.295000 12.504000 10.581000 10.317000 10.045000 10.364000 8.938000 8.984000 9.551000
1.000000 0.001000 13.000000 0.012410 10.750000 4.000000 9.975000 9.596000 9.262000 8.613000 9.660000 8.616000 10.952000 9.409000 10.319000 9.644000 10.305000 10.151000 9.252000 8.764000 8.560000 9.051000 9.720000 9.591000 20.210000 12.437000 10.528000 10.261000 9.996000 10.306000 8.897000 8.953000 9.505000
1.000000 0.001000 14.000000 0.013364 10.750000 4.000000 9.919000 9.544000 9.211000 8.570000 9.613000 8.590000 10.864000 9.360000 10.252000 9.596000 10.238000 10.091000 9.188000 8.716000 8.524000 9.008000 9.673000 9.545000 20.116000 12.362000 10.466000 10.196000 9.938000 10.239000 8.847000 8.915000 9.450000
1.000000 0.001000 15.000000 0.014319 10.750000 4.000000 9.840000 9.469000 9.136000 8.507000 9.547000 8.547000 10.750000 9.287000 10.162000 9.525000 10.149000 10.009000 9.100000 8.646000 8.470000 8.948000 9.607000 9.481000 19.999000 12.264000 10.381000 10.107000 9.857000 10.150000 8.775000 8.858000 9.372000




   t (Gyr) = 0.002
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
2.000000 0.002000 1.000000 0.000955 10.750000 4.000000 14.711000 16.047000 14.377000 13.482000 12.388000 10.541000 18.199000 15.709000 17.179000 14.020000 17.142000 15.374000 16.188000 14.559000 12.404000 12.278000 12.458000 12.321000 26.953000 18.556000 15.277000 16.562000 14.990000 16.227000 14.401000 12.363000 15.003000
2.000000 0.002000 2.000000 0.001909 10.750000 4.000000 13.325000 13.683000 12.892000 11.808000 11.714000 10.038000 15.972000 13.400000 14.772000 12.650000 14.745000 13.671000 13.835000 12.493000 11.090000 11.298000 11.768000 11.646000 24.843000 16.543000 13.971000 14.347000 13.482000 14.316000 12.513000 11.310000 13.165000
2.000000 0.002000 3.000000 0.002864 10.750000 4.000000 12.664000 12.705000 12.170000 11.078000 11.360000 9.783000 14.952000 12.443000 13.748000 12.042000 13.728000 12.933000 12.805000 11.619000 10.515000 10.849000 11.411000 11.289000 23.898000 15.673000 13.327000 13.439000 12.786000 13.463000 11.695000 10.813000 12.359000
2.000000 0.002000 4.000000 0.003818 10.750000 4.000000 12.186000 12.063000 11.638000 10.587000 11.096000 9.593000 14.230000 11.813000 13.069000 11.610000 13.051000 12.423000 12.101000 11.036000 10.130000 10.535000 11.147000 11.022000 23.238000 15.077000 12.850000 12.832000 12.286000 12.874000 11.143000 10.468000 11.811000
2.000000 0.002000 5.000000 0.004773 10.750000 4.000000 11.770000 11.542000 11.170000 10.183000 10.861000 9.424000 13.608000 11.303000 12.511000 11.235000 12.492000 11.989000 11.515000 10.561000 9.813000 10.267000 10.912000 10.784000 22.675000 14.573000 12.426000 12.326000 11.850000 12.375000 10.687000 10.178000 11.353000
2.000000 0.002000 6.000000 0.005727 10.750000 4.000000 11.409000 11.115000 10.768000 9.849000 10.648000 9.278000 13.067000 10.885000 12.045000 10.913000 12.026000 11.617000 11.025000 10.171000 9.552000 10.035000 10.701000 10.570000 22.191000 14.143000 12.052000 11.899000 11.474000 11.949000 10.308000 9.934000 10.968000
2.000000 0.002000 7.000000 0.006682 10.750000 4.000000 11.098000 10.763000 10.427000 9.572000 10.457000 9.151000 12.601000 10.542000 11.655000 10.638000 11.636000 11.298000 10.618000 9.849000 9.335000 9.834000 10.511000 10.378000 21.773000 13.774000 11.726000 11.537000 11.152000 11.587000 9.991000 9.726000 10.644000
