



   t (Gyr) = 0.001
age  ageGyr  M  M/Ms  S0  atm  J  H  K  L'  Mp  N  F140M  F162M  F182M  F210M  F250M  F300M  F335M  F360M  F410M  F430M  F460M  F480M  F070W  F090W  F115W  F150W  F200W  F277W  F356W  F444W  F322W2
1.000000 0.001000 3.000000 0.002864 12.000000 1.000000 12.651000 11.608000 10.661000 10.085000 10.050000 8.891000 12.768000 11.608000 11.634000 10.674000 11.211000 10.836000 10.610000 10.261000 9.787000 9.764000 10.111000 10.006000 22.143000 15.072000 13.171000 12.149000 11.125000 11.120000 10.335000 9.875000 10.680000
1.000000 0.001000 4.000000 0.003818 12.000000 1.000000 11.878000 10.849000 10.009000 9.494000 9.662000 8.595000 11.838000 10.863000 10.883000 10.155000 10.449000 10.166000 9.840000 9.594000 9.351000 9.378000 9.722000 9.621000 21.230000 14.138000 12.355000 11.351000 10.501000 10.377000 9.665000 9.464000 9.981000
1.000000 0.001000 5.000000 0.004773 12.000000 1.000000 11.324000 10.340000 9.568000 9.089000 9.369000 8.379000 11.219000 10.357000 10.382000 9.801000 9.946000 9.716000 9.334000 9.150000 9.041000 9.098000 9.429000 9.331000 20.582000 13.485000 11.776000 10.812000 10.075000 9.880000 9.214000 9.165000 9.510000
1.000000 0.001000 6.000000 0.005727 12.000000 1.000000 10.890000 9.955000 9.232000 8.778000 9.131000 8.204000 10.753000 9.971000 10.004000 9.527000 9.569000 9.374000 8.956000 8.815000 8.796000 8.875000 9.190000 9.097000 20.076000 12.978000 11.324000 10.401000 9.747000 9.504000 8.872000 8.927000 9.151000
1.000000 0.001000 7.000000 0.006682 12.000000 1.000000 10.518000 9.632000 8.950000 8.515000 8.925000 8.052000 10.365000 9.645000 9.688000 9.294000 9.256000 9.087000 8.643000 8.534000 8.586000 8.683000 8.984000 8.894000 19.644000 12.548000 10.938000 10.056000 9.470000 9.189000 8.585000 8.721000 8.851000
1.000000 0.001000 8.000000 0.007637 12.000000 1.000000 10.224000 9.381000 8.732000 8.310000 8.757000 7.928000 10.067000 9.391000 9.444000 9.110000 9.015000 8.864000 8.401000 8.316000 8.417000 8.528000 8.815000 8.728000 19.302000 12.210000 10.635000 9.787000 9.254000 8.946000 8.362000 8.555000 8.618000
1.000000 0.001000 9.000000 0.008591 12.000000 1.000000 10.002000 9.197000 8.573000 8.156000 8.625000 7.831000 9.849000 9.202000 9.265000 8.974000 8.840000 8.700000 8.225000 8.156000 8.287000 8.407000 8.683000 8.598000 19.044000 11.955000 10.406000 9.589000 9.094000 8.768000 8.197000 8.426000 8.446000
1.000000 0.001000 10.000000 0.009546 12.000000 1.000000 9.831000 9.060000 8.459000 8.042000 8.521000 7.756000 9.687000 9.061000 9.132000 8.872000 8.711000 8.578000 8.095000 8.037000 8.187000 8.313000 8.579000 8.497000 18.844000 11.760000 10.232000 9.442000 8.976000 8.636000 8.075000 8.326000 8.318000
1.000000 0.001000 11.000000 0.010500 12.000000 1.000000 9.693000 8.953000 8.371000 7.952000 8.436000 7.696000 9.562000 8.950000 9.029000 8.793000 8.611000 8.483000 7.994000 7.945000 8.106000 8.237000 8.494000 8.413000 18.682000 11.602000 10.091000 9.327000 8.883000 8.534000 7.979000 8.245000 8.219000
1.000000 0.001000 12.000000 0.011455 12.000000 1.000000 9.579000 8.869000 8.305000 7.882000 8.366000 7.648000 9.463000 8.862000 8.949000 8.730000 8.533000 8.408000 7.916000 7.873000 8.042000 8.175000 8.424000 8.345000 18.547000 11.472000 9.976000 9.235000 8.811000 8.453000 7.905000 8.179000 8.141000
